	name	feature.name	dist.to.feature	prom	exon	intron
1	Fbxo41	NM_001001160	24732	0	1	0
2	Taf9b	NM_001001176	233	1	1	0
3	Taf9b	NM_001001176	221	1	1	0
4	BC048546	NM_001001179	9653	0	0	1
5	Baz2b	NM_001001182	-4802	0	0	0
6	Thnsl1	NM_001001297	31788	0	0	0
7	St5	NM_001001326	-11940	0	0	0
8	Hexdc	NM_001001333	-11065	0	0	1
9	Spag6	NM_001001334	112474	0	0	0
10	Cyp2c44	NM_001001446	16523	0	0	1
11	Tas2r138	NM_001001451	7854	0	0	1
12	Mfsd4b5	NM_001001489	-4093	0	0	0
13	Oxgr1	NM_001001490	-40813	0	0	0
14	Oxgr1	NM_001001490	108614	0	0	0
15	Oxgr1	NM_001001490	-107210	0	0	0
16	Oxgr1	NM_001001490	-112547	0	0	0
17	Oxgr1	NM_001001490	-60633	0	0	0
18	Dab2ip	NM_001001602	40887	0	0	0
19	Dab2ip	NM_001001602	40897	0	0	0
20	Itprip	NM_001001738	22618	0	1	0
21	Itprip	NM_001001738	22626	0	1	0
22	Itprip	NM_001001738	22367	0	1	0
23	Prrxl1	NM_001001796	-15219	0	0	0
24	Atp11c	NM_001001798	-137	1	0	0
25	Atp11c	NM_001001798	-117	1	0	0
26	Zfp36l2	NM_001001806	4831	0	0	0
27	Zfp36l2	NM_001001806	41847	0	0	0
28	Zfp36l2	NM_001001806	-91242	0	0	1
29	Zfp36l2	NM_001001806	24248	0	0	0
30	Zfp36l2	NM_001001806	24472	0	0	0
31	Zfp36l2	NM_001001806	28892	0	0	0
32	Olfr279	NM_001001807	-4017	0	0	0
33	2510009E07Rik	NM_001001881	81837	0	0	1
34	2510009E07Rik	NM_001001881	98718	0	0	1
35	2510009E07Rik	NM_001001881	98875	0	0	1
36	2510009E07Rik	NM_001001881	98859	0	0	1
37	Nckap5l	NM_001001884	32108	0	1	0
38	Tmem151a	NM_001001885	4474	0	1	0
39	Eea1	NM_001001932	-124942	0	0	0
40	A430105I19Rik	NM_001001982	131	1	1	0
41	Gp1bb	NM_001001999	-2442	0	1	0
