	name	feature.name	dist.to.feature	prom	exon	intron
1	Fbxo41	NM_001001160	24732	0	1	0
2	Taf9b	NM_001001176	221	1	1	0
3	Taf9b	NM_001001176	102	1	1	1
4	Taf9b	NM_001001176	85	1	1	1
5	Taf9b	NM_001001176	246	1	1	0
6	Taf9b	NM_001001176	294	1	0	1
7	Taf9b	NM_001001176	233	1	1	0
8	Taf9b	NM_001001176	252	1	1	0
9	Taf9b	NM_001001176	105	1	1	1
10	Taf9b	NM_001001176	301	1	0	1
11	Ccdc148	NM_001001178	-24099	0	0	0
12	Ccdc148	NM_001001178	-24239	0	0	0
13	Ccdc148	NM_001001178	55119	0	0	1
14	Baz2b	NM_001001182	-4763	0	0	0
15	BC048507	NM_001001185	35016	0	0	0
16	Zfp456	NM_001001186	-8186	0	0	0
17	Thnsl1	NM_001001297	64073	0	0	0
18	Thnsl1	NM_001001297	31788	0	0	0
19	Thnsl1	NM_001001297	31542	0	0	0
20	Spag6	NM_001001334	112474	0	0	0
21	Cyp2c44	NM_001001446	16523	0	0	1
22	AF067063	NM_001001449	7857	0	0	0
23	Mfsd4b5	NM_001001489	-4093	0	0	0
24	Oxgr1	NM_001001490	-107210	0	0	0
25	Oxgr1	NM_001001490	-199	1	0	0
26	Oxgr1	NM_001001490	-40813	0	0	0
27	Wdr83os	NM_001001493	719	1	0	1
28	Gja6	NM_001001496	34508	0	0	1
29	Chpf	NM_001001566	9668	0	1	0
30	Dab2ip	NM_001001602	27897	0	1	0
31	Dab2ip	NM_001001602	-28895	0	0	1
32	Dab2ip	NM_001001602	40727	0	0	0
33	Dab2ip	NM_001001602	17835	0	1	0
34	Dab2ip	NM_001001602	-23802	0	0	1
35	Itprip	NM_001001738	22713	0	1	0
36	Zfp239	NM_001001792	8553	0	1	0
37	Prrxl1	NM_001001796	-14126	0	0	0
38	Prrxl1	NM_001001796	-15219	0	0	0
39	Atp11c	NM_001001798	-263	1	0	0
40	Atp11c	NM_001001798	-137	1	0	0
41	Atp11c	NM_001001798	-273	1	0	0
42	Atp11c	NM_001001798	-198	1	0	0
43	Atp11c	NM_001001798	-117	1	0	0
44	Atp11c	NM_001001798	-278	1	0	0
45	Atp11c	NM_001001798	-319	1	0	0
46	Atp11c	NM_001001798	-274	1	0	0
47	Atp11c	NM_001001798	-288	1	0	0
48	Atp11c	NM_001001798	-287	1	0	0
49	Zfp36l2	NM_001001806	-37	1	0	0
50	Zfp36l2	NM_001001806	5618	0	0	0
51	Zfp36l2	NM_001001806	5617	0	0	0
52	Zfp36l2	NM_001001806	-91222	0	0	1
53	2510009E07Rik	NM_001001881	52573	0	0	1
54	2510009E07Rik	NM_001001881	98875	0	0	1
55	2510009E07Rik	NM_001001881	81837	0	0	1
56	Nckap5l	NM_001001884	30697	0	1	0
57	Nckap5l	NM_001001884	10639	0	0	1
58	Tmem151a	NM_001001885	111	1	1	0
59	Eea1	NM_001001932	322957	0	0	0
60	Eea1	NM_001001932	322948	0	0	0
61	Eea1	NM_001001932	135403	0	0	0
62	Megf10	NM_001001979	88111	0	0	1
63	Megf10	NM_001001979	4563	0	0	1
64	A430105I19Rik	NM_001001982	-1653	0	0	0
65	A430105I19Rik	NM_001001982	131	1	1	0
66	A430105I19Rik	NM_001001982	-1616	0	0	0
67	A430105I19Rik	NM_001001982	3085	0	1	0
68	Kdm2a	NM_001001984	-1454	0	0	0
69	Gp1bb	NM_001001999	-2442	0	1	0
70	Gp1bb	NM_001001999	-2804	0	1	0
71	Rpl17	NM_001002239	-7812	0	0	0
72	Tmem158	NM_001002267	-2499	0	0	0
73	Adgrg6	NM_001002268	263346	0	0	0
74	Adgrg6	NM_001002268	-60308	0	0	0
75	Rab44	NM_001002786	22633	0	1	0
76	Ccin	NM_001002787	1335	0	1	0
77	AI413582	NM_001002895	-9728	0	0	0
78	AI413582	NM_001002895	-9719	0	0	0
