	name	feature.name	dist.to.feature	prom	exon	intron
1	Taf9b	NM_001001176	344	1	0	1
2	Taf9b	NM_001001176	333	1	0	1
3	Taf9b	NM_001001176	332	1	0	1
4	Taf9b	NM_001001176	300	1	0	1
5	Taf9b	NM_001001176	293	1	0	1
6	Taf9b	NM_001001176	290	1	0	1
7	Taf9b	NM_001001176	251	1	1	0
8	BC048546	NM_001001179	2213	0	0	1
9	BC048546	NM_001001179	9653	0	0	1
10	Thnsl1	NM_001001297	76522	0	0	0
11	Thnsl1	NM_001001297	63260	0	0	0
12	Itprip	NM_001001738	22618	0	1	0
13	Itprip	NM_001001738	22626	0	1	0
14	Itprip	NM_001001738	22645	0	1	0
15	Itprip	NM_001001738	22465	0	1	0
16	Prrxl1	NM_001001796	-321	1	0	0
17	Zfp36l2	NM_001001806	5634	0	0	0
18	2510009E07Rik	NM_001001881	29584	0	0	1
19	2510009E07Rik	NM_001001881	98718	0	0	1
20	2510009E07Rik	NM_001001881	29587	0	0	1
21	Eea1	NM_001001932	107560	0	0	0
22	Eea1	NM_001001932	-60435	0	0	0
23	Eea1	NM_001001932	-60455	0	0	0
24	Nat8l	NM_001001985	165	1	1	0
25	Gp1bb	NM_001001999	-1686	0	0	1
26	Gp1bb	NM_001001999	-2439	0	1	0
27	Gp1bb	NM_001001999	-2223	0	1	0
28	Tdrd1	NM_001002238	-4254	0	0	0
29	Tdrd1	NM_001002238	-4258	0	0	0
30	Rpl17	NM_001002239	249	1	0	1
31	Rab44	NM_001002786	41212	0	0	1
32	Ccin	NM_001002787	633	1	1	0
33	Adamts7	NM_001003911	8590	0	1	0
34	Ddx11	NM_001003919	145555	0	0	0
35	Zfp619	NM_001004139	34913	0	0	0
36	Gnptab	NM_001004164	26532	0	0	1
37	Sgpp2	NM_001004173	54100	0	0	1
38	Maml3	NM_001004176	60250	0	0	1
39	Maml3	NM_001004176	60208	0	0	1
40	Maml3	NM_001004176	60215	0	0	1
41	Maml3	NM_001004176	196309	0	0	1
42	Maml3	NM_001004176	60245	0	0	1
43	Fam222a	NM_001004180	43747	0	1	0
44	Whamm	NM_001004185	29081	0	0	0
45	Whamm	NM_001004185	405	1	1	0
46	Whamm	NM_001004185	22457	0	1	0
47	Nuak1	NM_001004363	-17190	0	0	0
48	Dbx1	NM_001005232	78030	0	1	0
49	Ado	NM_001005419	-117946	0	0	0
50	Ado	NM_001005419	-117923	0	0	0
51	Ado	NM_001005419	-117803	0	0	0
52	Ppp1r26	NM_001005420	-26153	0	0	0
53	Mreg	NM_001005423	14139	0	0	1
54	Barhl2	NM_001005477	-103404	0	0	0
55	Arhgap30	NM_001005508	627	1	0	1
56	Eif2a	NM_001005509	-187	1	1	0
57	Lmtk3	NM_001005511	11304	0	1	0
58	Lmtk3	NM_001005511	9481	0	1	0
59	Lmtk3	NM_001005511	9827	0	1	0
60	Phactr1	NM_001005748	-206427	0	0	1
61	Mtus1	NM_001005863	36306	0	0	1
62	Mtus1	NM_001005863	20227	0	0	1
63	Zfp251	NM_001007568	17601	0	1	0
64	Tceanc	NM_001007577	273	1	0	1
65	Tceanc	NM_001007577	-57	1	0	0
66	Fndc3c1	NM_001007580	73	1	1	0
67	Best3	NM_001007583	14959	0	0	1
68	Best3	NM_001007583	12771	0	0	1
69	Best3	NM_001007583	12713	0	0	1
70	Akirin2	NM_001007589	-111589	0	0	0
71	Akirin2	NM_001007589	-120823	0	0	0
72	Rtn1	NM_001007596	-20833	0	0	1
73	Cdh12	NM_001008420	-2528	0	0	0
74	Armcx5	NM_001009575	188	1	1	0
75	Armcx5	NM_001009575	191	1	1	0
76	Armcx5	NM_001009575	200	1	1	0
77	Armcx5	NM_001009575	243	1	1	0
78	Slc25a51	NM_001009949	-58993	0	0	1
79	Scgb2b20	NM_001009952	36645	0	0	0
80	Fut10	NM_001012517	32002	0	0	1
81	Smim19	NM_001012667	-32302	0	0	1
82	Osm	NM_001013365	-4025	0	0	0
83	E2f8	NM_001013368	-646	1	0	0
84	Dync1li2	NM_001013380	254	1	1	0
85	Pard3	NM_001013580	293455	0	1	0
86	Tmem151b	NM_001013749	4711	0	1	0
87	Tmem151b	NM_001013749	4723	0	1	0
88	Tmem151b	NM_001013749	2471	0	0	1
89	Tmem151b	NM_001013749	4705	0	1	0
90	Ccdc92b	NM_001013784	8575	0	0	1
91	Ccdc92b	NM_001013784	8500	0	0	1
92	Maml2	NM_001013813	-5569	0	0	0
93	Dyrk2	NM_001014390	-14478	0	0	0
94	Dyrk2	NM_001014390	-14491	0	0	0
95	Dyrk2	NM_001014390	527	1	0	1
96	4930404N11Rik	NM_001014836	2008	0	1	0
97	Snx13	NM_001014973	142692	0	0	0
98	Rap1gap2	NM_001015046	32421	0	0	1
99	C2cd3	NM_001017985	31957	0	0	1
100	Sp3	NM_001018042	-15129	0	0	0
101	Anks6	NM_001024136	-7891	0	0	0
102	Adamts15	NM_001024139	212118	0	0	0
103	Ankrd28	NM_001024604	-26830	0	0	0
104	Cdkl5	NM_001024624	445	1	0	1
105	Mctp2	NM_001024703	849947	0	0	0
106	Mctp2	NM_001024703	849957	0	0	0
107	Mctp2	NM_001024703	849931	0	0	0
108	Triobp	NM_001024716	-5894	0	0	1
109	Triobp	NM_001024716	-5944	0	0	1
110	Ntrk2	NM_001025074	269305	0	0	1
111	Ntrk2	NM_001025074	54328	0	0	1
112	Ntrk2	NM_001025074	269266	0	0	1
113	Camk2d	NM_001025439	13574	0	0	1
114	Maf	NM_001025577	348785	0	0	0
115	Maf	NM_001025577	389003	0	0	1
116	Kcnc2	NM_001025581	177915	0	0	1
117	Kcnc2	NM_001025581	-41800	0	0	0
118	Kcnj6	NM_001025590	6519	0	0	1
119	Kcnj6	NM_001025590	63639	0	0	1
120	Kcnj6	NM_001025590	125336	0	0	0
121	Kcnj6	NM_001025590	6550	0	0	1
122	Kcnj6	NM_001025590	21358	0	0	1
123	Tmem171	NM_001025606	-2732	0	0	0
124	Snx22	NM_001025612	-8892	0	0	0
125	Cdc6	NM_001025779	-15743	0	1	0
126	Cdc6	NM_001025779	-15763	0	1	0
127	Cdc6	NM_001025779	-15735	0	1	0
128	Vrk1	NM_001029844	174748	0	0	0
129	Pdzd4	NM_001029868	339	1	1	0
130	Lonrf2	NM_001029878	74072	0	0	0
131	Gm5796	NM_001029930	64320	0	0	0
132	Sec23ip	NM_001029982	32107	0	0	1
133	Kcnk15	NM_001030292	-2394	0	0	0
134	Olfm4	NM_001030294	267866	0	0	0
135	Olfm4	NM_001030294	267876	0	0	0
136	Pecam1	NM_001032378	-56	1	0	0
137	Sdhaf1	NM_001033140	276	1	1	0
138	Fbxo33	NM_001033156	-493667	0	0	0
139	Fbxo33	NM_001033156	-212055	0	0	0
140	5730507C01Rik	NM_001033157	662014	0	0	0
141	Slc6a21	NM_001033176	25351	0	0	1
142	Slc6a21	NM_001033176	25383	0	1	0
143	Skap1	NM_001033186	75788	0	0	1
144	C77080	NM_001033189	22274	0	0	1
145	Naa11	NM_001033191	68282	0	0	0
146	Fam8a1	NM_001033192	-41499	0	0	1
147	Nlrc5	NM_001033207	878	1	0	1
148	Prickle1	NM_001033217	-73013	0	0	0
149	Pnrc1	NM_001033225	-8748	0	0	0
150	Calr4	NM_001033226	-14839	0	0	0
151	Itga1	NM_001033228	-108811	0	0	0
152	Cblb	NM_001033238	203739	0	0	0
153	Hk3	NM_001033245	-19194	0	1	0
154	Gm266	NM_001033248	-178	1	0	0
155	Agap2	NM_001033263	5273	0	0	1
156	Agap2	NM_001033263	12891	0	1	0
157	Agap2	NM_001033263	882	1	1	0
158	Agap2	NM_001033263	12897	0	1	0
159	Agap2	NM_001033263	12895	0	1	0
160	Gxylt1	NM_001033275	314023	0	0	0
161	Gxylt1	NM_001033275	-4322	0	0	0
162	Spryd3	NM_001033277	2698	0	1	0
163	Spryd3	NM_001033277	2558	0	0	1
164	Spryd3	NM_001033277	2555	0	0	1
165	Espnl	NM_001033292	-8798	0	0	1
166	Espnl	NM_001033292	-8872	0	0	1
167	Carmil2	NM_001033320	3367	0	0	1
168	Carmil2	NM_001033320	3307	0	1	0
169	Zbtb16	NM_001033324	20777	0	0	1
170	Zbtb16	NM_001033324	43812	0	0	1
171	Arhgef9	NM_001033329	-115739	0	0	0
172	Mmp25	NM_001033339	1133	0	1	0
173	Lrrc30	NM_001033340	119901	0	0	0
174	Cdc42bpg	NM_001033342	-8787	0	1	0
175	Cdc42bpg	NM_001033342	442	1	0	1
176	Cdc42bpg	NM_001033342	-8734	0	0	1
177	Gal3st4	NM_001033416	-3200	0	1	0
178	Gal3st4	NM_001033416	-3157	0	0	1
179	Gal3st4	NM_001033416	-3180	0	1	0
180	Thoc2	NM_001033422	851	1	0	1
181	Thoc2	NM_001033422	835	1	0	1
182	Thoc2	NM_001033422	131	1	0	1
183	Tmem211	NM_001033428	-16850	0	0	0
184	Tmem211	NM_001033428	-12440	0	0	0
185	Gm884	NM_001033434	49826	0	0	1
186	Gm884	NM_001033434	13679	0	0	1
187	Atxn7l1	NM_001033436	-13068	0	0	0
188	Lsmem1	NM_001033437	22574	0	1	0
189	Garem1	NM_001033445	-1164	0	0	0
190	A830080D01Rik	NM_001033472	-24116	0	0	0
191	A830080D01Rik	NM_001033472	880	1	0	1
192	A830080D01Rik	NM_001033472	903	1	0	1
193	A830080D01Rik	NM_001033472	912	1	0	1
194	Wdr72	NM_001033500	34891	0	0	1
195	Wdr72	NM_001033500	167381	0	0	1
196	Kcnk6	NM_001033525	7423	0	1	0
197	Mef2a	NM_001033713	-70637	0	0	0
198	Gm4951	NM_001033767	-219100	0	0	0
199	Gm4951	NM_001033767	-338866	0	0	0
200	Smim9	NM_001033786	7881	0	0	1
201	Gm5820	NM_001033789	-5964	0	0	1
202	Adamts17	NM_001033877	88152	0	0	1
203	Adamts17	NM_001033877	27700	0	0	1
204	Treml4	NM_001033922	8431	0	1	0
205	Ak2	NM_001033966	24170	0	0	0
206	Fam92b	NM_001033980	-51695	0	0	0
207	Fam92b	NM_001033980	-51956	0	0	0
208	Fam92b	NM_001033980	-153867	0	0	0
209	Fam92b	NM_001033980	-92626	0	0	0
210	Limk2	NM_001034030	2875	0	0	1
211	Limk2	NM_001034030	2743	0	1	1
212	Limk2	NM_001034030	2803	0	1	1
213	Ccdc160	NM_001034059	-1435	0	0	0
214	Fam134b	NM_001034851	-57619	0	0	1
215	Fam134b	NM_001034851	-69340	0	0	1
216	Bpifb4	NM_001034875	2024	0	1	0
217	Ermard	NM_001034891	93727	0	0	0
218	Akap2	NM_001035532	57	1	1	0
219	Akap2	NM_001035532	37	1	1	0
220	Musk	NM_001037127	67	1	1	0
221	Ccne2	NM_001037134	-8835	0	0	0
222	Agap1	NM_001037136	30615	0	0	1
223	Nfatc2	NM_001037178	-28905	0	0	0
224	Prok2	NM_001037539	-157766	0	0	0
225	Prok2	NM_001037539	-39134	0	0	0
226	Arhgef10	NM_001037736	11211	0	0	1
227	Defb48	NM_001037751	47944	0	0	1
228	Csf1r	NM_001037859	26249	0	1	0
229	Atp11c	NM_001037863	666	1	0	1
230	Atp11c	NM_001037863	212	1	0	1
231	Atp11c	NM_001037863	205	1	0	1
232	Atp11c	NM_001037863	161	1	1	0
233	Ripply2	NM_001037907	1814	0	0	1
234	Kcnh1	NM_001038607	253591	0	0	1
235	Ets1	NM_001038642	140696	0	0	0
236	Faim2	NM_001038658	-16444	0	0	0
237	Sel1l	NM_001039089	-876982	0	0	0
238	Defb25	NM_001039122	8085	0	0	0
239	Defb25	NM_001039122	8090	0	0	0
240	Cdh8	NM_001039154	-1575752	0	0	0
241	Rbfox3	NM_001039167	706	1	0	1
242	Rreb1	NM_001039188	19450	0	0	1
243	Gmfg	NM_001039192	1376	0	0	1
244	Mex3c	NM_001039214	-136479	0	0	0
245	Mex3c	NM_001039214	-136564	0	0	0
246	Mex3c	NM_001039214	-355666	0	0	0
247	Slc22a15	NM_001039371	19337	0	0	1
248	Trim46	NM_001039466	943	1	1	0
249	Kif21b	NM_001039472	31195	0	0	1
250	Plekhm3	NM_001039493	88833	0	0	1
251	Plekhm3	NM_001039493	107483	0	0	1
252	Tex40	NM_001039494	-913	1	1	0
253	Tex40	NM_001039494	-918	1	1	0
254	Pigl	NM_001039536	-4	1	0	0
255	Myh2	NM_001039545	7479	0	0	1
256	Myo6	NM_001039546	27439	0	0	1
257	1700015E13Rik	NM_001039593	122172	0	0	1
258	1700015E13Rik	NM_001039593	98278	0	0	1
259	Edem3	NM_001039644	124517	0	0	0
260	Lhx3	NM_001039653	13754	0	0	0
261	Slc39a2	NM_001039676	3203	0	0	0
262	Rhox4g	NM_001039698	-2181	0	0	0
263	Tet2	NM_001040400	-30597	0	0	0
264	Tet2	NM_001040400	-332485	0	0	0
265	Tet2	NM_001040400	10234	0	0	1
266	Tet2	NM_001040400	92188	0	0	0
267	Flot2	NM_001040403	12712	0	0	1
268	Thsd4	NM_001040426	17894	0	0	1
269	Clmn	NM_001040682	-28804	0	0	0
270	Clmn	NM_001040682	-28702	0	0	0
271	Pitx2	NM_001042504	3322	0	0	1
272	Txnrd1	NM_001042513	-11843	0	0	1
273	Txnrd1	NM_001042523	9104	0	0	1
274	Blm	NM_001042527	-24825	0	0	0
275	Lhx9	NM_001042577	9757	0	0	1
276	Arrdc4	NM_001042592	-110599	0	0	0
277	Dhx15	NM_001042620	290637	0	0	0
278	Smad7	NM_001042660	52864	0	0	0
279	Smad7	NM_001042660	17328	0	0	1
280	Eml1	NM_001043336	-23980	0	0	0
281	Cacna1i	NM_001044308	51579	0	0	1
282	Cacna1i	NM_001044308	102041	0	1	0
283	Cyb5d1	NM_001045525	-84	1	0	0
284	Prl2c1	NM_001045532	64117	0	0	0
285	Tulp2	NM_001045555	2936	0	1	0
286	Azi2	NM_001048146	-193803	0	0	0
287	Azi2	NM_001048146	-193830	0	0	0
288	Hs6st2	NM_001077202	540	1	0	1
289	Hs6st2	NM_001077202	485	1	0	1
290	Hs6st2	NM_001077202	478	1	0	1
291	Ap2a1	NM_001077264	-377	1	0	0
292	C77370	NM_001077354	874	1	0	1
293	C77370	NM_001077354	840	1	0	1
294	C77370	NM_001077354	836	1	0	1
295	C77370	NM_001077354	832	1	0	1
296	C77370	NM_001077354	829	1	0	1
297	C77370	NM_001077354	643	1	0	1
