	name	feature.name	dist.to.feature	prom	exon	intron
1	Dab2ip	NM_001001602	-29087	0	0	1
2	Prrxl1	NM_001001796	-321	1	0	0
3	A430105I19Rik	NM_001001982	304	1	0	1
4	Nat8l	NM_001001985	165	1	1	0
5	Rpl17	NM_001002239	249	1	0	1
6	Ddx11	NM_001003919	145514	0	0	0
7	Slc13a5	NM_001004148	4615	0	0	1
8	Eif2a	NM_001005509	-187	1	1	0
9	Lmtk3	NM_001005511	10254	0	1	0
10	Mtus1	NM_001005864	-28028	0	1	0
11	Unc13d	NM_001009573	14277	0	1	0
12	A3galt2	NM_001009819	13589	0	0	0
13	A3galt2	NM_001009819	13621	0	0	0
14	E2f8	NM_001013368	-646	1	0	0
15	Zfp930	NM_001013379	-32412	0	0	0
16	Dync1li2	NM_001013380	254	1	1	0
17	Lingo3	NM_001013758	143	1	0	1
18	Dyrk2	NM_001014390	527	1	0	1
19	Snx13	NM_001014973	142692	0	0	0
20	Btbd11	NM_001017525	10323	0	0	1
21	Otol1	NM_001018031	325540	0	0	0
22	Trim15	NM_001024134	9181	0	1	0
23	Gm5458	NM_001024706	285700	0	0	0
24	Ankrd34a	NM_001024851	61	1	1	0
25	Sept10	NM_001024910	172326	0	1	0
26	Cadm1	NM_001025600	27751	0	0	1
27	Fbxo33	NM_001033156	-212055	0	0	0
28	Gm732	NM_001033252	-265855	0	0	0
29	Grin3a	NM_001033351	-245907	0	0	0
30	B020004J07Rik	NM_001033790	18921	0	0	0
31	Fam92b	NM_001033980	-51956	0	0	0
32	Gm4907	NM_001034864	261011	0	0	0
33	Agap1	NM_001037136	84346	0	0	1
34	Col28a1	NM_001037865	118118	0	0	1
35	AI429214	NM_001039220	111450	0	0	0
36	Pigl	NM_001039536	-4	1	0	0
37	Edem3	NM_001039644	124517	0	0	0
38	Defb41	NM_001040027	-128075	0	0	0
39	Filip1l	NM_001040397	38375	0	0	1
40	Txnrd1	NM_001042523	-3723	0	0	0
41	Hhipl1	NM_001044380	5603	0	1	0
42	Sdhaf3	NM_001077713	55838	0	0	1
43	Sdhaf3	NM_001077713	221299	0	0	0
44	Bcl11b	NM_001079883	-565	1	0	0
45	Prdm13	NM_001080771	-2949	0	0	0
46	Gm1123	NM_001080776	-51430	0	0	1
47	Slc9a3	NM_001081060	-402	1	0	0
48	Lrp2	NM_001081088	93620	0	1	0
49	Grik3	NM_001081097	-125587	0	0	0
50	Kcna10	NM_001081140	-29338	0	0	0
51	Prickle2	NM_001081146	-22893	0	0	0
52	Npat	NM_001081152	-157	1	0	0
53	Lama5	NM_001081171	20876	0	0	1
54	Adgrf5	NM_001081178	2783	0	0	1
55	Prdm14	NM_001081209	-31346	0	0	1
56	Neto2	NM_001081324	-30235	0	0	1
57	Hs3st2	NM_001081327	-141321	0	0	0
58	Rimbp2	NM_001081388	107060	0	0	1
59	1810013L24Rik	NM_001081400	383375	0	0	0
60	Agmat	NM_001081408	3340	0	0	1
61	Camta1	NM_001081557	296102	0	0	1
62	Lhx6	NM_001083125	-3414	0	0	0
63	Spata31d1c	NM_001083890	19711	0	0	0
64	Nr3c2	NM_001083906	230578	0	0	1
65	Xirp2	NM_001083919	-45971	0	0	0
66	Nr1i2	NM_001098404	89311	0	0	1
67	Pik3c2b	NM_001099276	17426	0	0	1
68	Ajap1	NM_001099299	538	1	1	0
69	Ajap1	NM_001099299	-118322	0	0	0
70	Sult2a4	NM_001101534	-469	1	0	0
71	Kazn	NM_001109685	-261509	0	0	0
72	Serac1	NM_001111017	44323	0	1	0
73	Sox5	NM_001113559	159386	0	0	1
74	Fam189a2	NM_001114174	55386	0	1	0
75	Epha7	NM_001122889	-962097	0	0	0
76	Prdm12	NM_001123362	14582	0	1	0
77	Pparg	NM_001127330	538	1	0	1
78	Il9r	NM_001134458	71168	0	0	0
79	CK137956	NM_001134733	211781	0	0	0
80	CK137956	NM_001134733	211788	0	0	0
81	Tpx2	NM_001141977	15	1	1	0
82	Tcf7l2	NM_001142924	102407	0	0	0
83	H2-Q4	NM_001143689	-60	1	0	0
84	Spg20	NM_001144987	11159	0	0	1
85	Arhgef33	NM_001145452	15241	0	0	1
86	Rfx8	NM_001145660	32574	0	0	1
87	Gse1	NM_001145896	13308	0	0	1
88	Mrps10	NM_001146211	-12	1	0	0
89	Gjc1	NM_001159382	425	1	0	1
90	Ces3b	NM_001159415	15467	0	0	0
91	Ces3b	NM_001159415	15504	0	0	0
92	Celf2	NM_001160292	-102177	0	0	1
93	Mroh1	NM_001162489	10821	0	0	1
94	Troap	NM_001162506	1840	0	0	1
95	Etv1	NM_001163154	185119	0	0	0
96	Cdc42ep4	NM_001163346	-104400	0	0	1
97	Sult6b1	NM_001163625	2485	0	0	1
98	Nlrx1	NM_001163742	-5003	0	1	0
99	Tgif1	NM_001164074	-18683	0	0	0
100	Tgif1	NM_001164077	139414	0	0	1
101	Fam47c	NM_001164739	-59713	0	0	0
102	Robo3	NM_001164767	-27387	0	0	0
103	Hnrnpf	NM_001166427	416	1	0	1
104	Ankrd50	NM_001167883	45291	0	0	0
105	Phf14	NM_001168382	271	1	1	0
106	Mapk14	NM_001168513	-279	1	0	1
107	Cuedc1	NM_001172099	13728	0	1	0
108	Gm6760	NM_001177377	496172	0	0	0
109	Gm6588	NM_001177504	37527	0	0	1
110	Gm7102	NM_001177513	97267	0	0	1
111	Gm3985	NM_001177589	-30040	0	0	0
112	Eif2ak4	NM_001177806	43424	0	0	1
113	Dcdc2c	NM_001177964	478148	0	0	0
114	Lrrc74a	NM_001195767	68121	0	0	0
115	Arhgef2	NM_001198913	12828	0	0	1
116	Tjp2	NM_001198985	29905	0	0	1
117	Slc7a9	NM_001199015	-13440	0	0	1
118	Slc19a1	NM_001199271	-1673	0	0	0
119	Sult2a8	NM_001199306	68150	0	0	0
120	Gm3264	NM_001242945	218770	0	0	0
121	Gm3264	NM_001242945	218770	0	0	0
122	Slc6a15	NM_001252330	242119	0	0	0
123	Cdh23	NM_001252635	115500	0	0	1
124	Tbc1d7	NM_001252639	-40327	0	0	1
125	Fstl5	NM_001253719	78022	0	0	1
126	7530416G11Rik	NM_001256072	-4489	0	0	0
127	7530416G11Rik	NM_001256072	-4507	0	0	0
128	Epha10	NM_001256432	-8326	0	0	0
129	Igip	NM_001267796	20338	0	0	0
130	Ccdc30	NM_001270435	93	1	1	0
131	AA414768	NM_001272033	-19944	0	0	0
132	Tbxa2r	NM_001277265	3979	0	1	0
