	name	feature.name	dist.to.feature	prom	exon	intron
1	Scap	NM_001001144	1988	0	0	1
2	Fbxo41	NM_001001160	18719	0	1	0
3	Fbxo41	NM_001001160	24380	0	1	0
4	Fbxo41	NM_001001160	18500	0	1	0
5	Fbxo41	NM_001001160	18373	0	1	0
6	Fbxo41	NM_001001160	18267	0	1	0
7	Fbxo41	NM_001001160	22090	0	1	0
8	Fbxo41	NM_001001160	18579	0	1	0
9	Ccdc148	NM_001001178	-22397	0	0	0
10	BC048546	NM_001001179	2213	0	0	1
11	BC048546	NM_001001179	2209	0	0	1
12	BC048546	NM_001001179	-6468	0	0	0
13	Baz2b	NM_001001182	18475	0	0	1
14	Baz2b	NM_001001182	-4802	0	0	0
15	Baz2b	NM_001001182	-4743	0	0	0
16	Baz2b	NM_001001182	54455	0	0	1
17	Baz2b	NM_001001182	114737	0	0	1
18	Tmem204	NM_001001183	2936	0	0	1
19	Tmem204	NM_001001183	2965	0	0	1
20	Tmem204	NM_001001183	2855	0	0	1
21	Tmem204	NM_001001183	-3518	0	0	1
22	BC048507	NM_001001185	-401	1	0	0
23	BC048507	NM_001001185	-364	1	0	0
24	BC048507	NM_001001185	-348	1	0	0
25	BC048507	NM_001001185	-352	1	0	0
26	BC048507	NM_001001185	-329	1	0	0
27	Thnsl1	NM_001001297	64073	0	0	0
28	Thnsl1	NM_001001297	31788	0	0	0
29	Thnsl1	NM_001001297	31558	0	0	0
30	Tbx10	NM_001001320	339	1	1	1
31	Slc35d2	NM_001001321	178	1	0	1
32	St5	NM_001001326	-20484	0	0	0
33	St5	NM_001001326	-20516	0	0	0
34	Hexdc	NM_001001333	-1347	0	1	0
35	Hexdc	NM_001001333	-11065	0	0	1
36	Spag6	NM_001001334	129876	0	0	0
37	Spag6	NM_001001334	112474	0	0	0
38	AF067063	NM_001001449	7808	0	0	0
39	AF067063	NM_001001449	11394	0	0	0
40	Ssxb2	NM_001001450	-14875	0	0	0
41	Tas2r138	NM_001001451	7854	0	0	1
42	Tas2r144	NM_001001453	-2729	0	0	0
43	Tas2r144	NM_001001453	12347	0	0	0
44	Ttyh1	NM_001001454	203	1	1	0
45	Mfsd4b5	NM_001001489	-4093	0	0	0
46	Oxgr1	NM_001001490	-40813	0	0	0
47	Oxgr1	NM_001001490	-40638	0	0	0
48	Oxgr1	NM_001001490	108679	0	0	0
49	Oxgr1	NM_001001490	-43858	0	0	0
50	Oxgr1	NM_001001490	-79609	0	0	0
51	Oxgr1	NM_001001490	-107210	0	0	0
52	Oxgr1	NM_001001490	-52236	0	0	0
53	Oxgr1	NM_001001490	-104058	0	0	0
54	Oxgr1	NM_001001490	-38306	0	0	0
55	Oxgr1	NM_001001490	-199	1	0	0
56	Oxgr1	NM_001001490	108614	0	0	0
57	Oxgr1	NM_001001490	-60633	0	0	0
58	Wdr83os	NM_001001493	707	1	0	1
59	Wdr83os	NM_001001493	570	1	0	1
60	Wdr83os	NM_001001493	618	1	0	1
61	Tnip3	NM_001001495	-97861	0	0	0
62	Usp17ld	NM_001001559	-24892	0	0	0
63	Usp17ld	NM_001001559	-25106	0	0	0
64	Chpf	NM_001001566	4220	0	1	0
65	Chpf	NM_001001566	4172	0	1	0
66	Chpf	NM_001001566	4185	0	1	0
67	Chpf	NM_001001566	2160	0	1	0
68	Chpf	NM_001001566	2038	0	1	0
69	Chpf	NM_001001566	9678	0	1	0
70	Chpf	NM_001001566	893	1	0	1
71	Dab2ip	NM_001001602	-166	1	0	1
72	Dab2ip	NM_001001602	40685	0	0	0
73	Dab2ip	NM_001001602	40727	0	0	0
74	Dab2ip	NM_001001602	40897	0	0	0
75	Dab2ip	NM_001001602	40278	0	0	0
76	Dab2ip	NM_001001602	-28816	0	0	1
77	Dab2ip	NM_001001602	-28775	0	0	1
78	Dab2ip	NM_001001602	-24007	0	0	1
79	Dab2ip	NM_001001602	-23404	0	0	1
80	Dab2ip	NM_001001602	-138	1	0	1
81	Dab2ip	NM_001001602	-28817	0	0	1
82	Dab2ip	NM_001001602	709	1	0	1
83	Dab2ip	NM_001001602	-28797	0	0	1
84	Dab2ip	NM_001001602	26881	0	1	0
85	Dab2ip	NM_001001602	17835	0	1	0
86	Prss48	NM_001001650	28487	0	0	0
87	Prss48	NM_001001650	-31942	0	0	0
88	Prss48	NM_001001650	8561	0	1	0
89	Prss48	NM_001001650	-11769	0	0	0
90	Sohlh1	NM_001001714	-4519	0	0	0
91	Itprip	NM_001001738	22645	0	1	0
92	Itprip	NM_001001738	22618	0	1	0
93	Itprip	NM_001001738	14202	0	0	1
94	Itprip	NM_001001738	22333	0	1	0
95	Itprip	NM_001001738	18277	0	0	1
96	Itprip	NM_001001738	22626	0	1	0
97	Itprip	NM_001001738	21561	0	1	0
98	Itprip	NM_001001738	22674	0	1	0
99	Itprip	NM_001001738	22713	0	1	0
100	Itprip	NM_001001738	22367	0	1	0
101	Itprip	NM_001001738	22464	0	1	0
102	Itprip	NM_001001738	19638	0	0	1
103	Itprip	NM_001001738	22465	0	1	0
104	Zfp239	NM_001001792	8513	0	1	0
105	Zfp239	NM_001001792	8590	0	1	0
106	Prrxl1	NM_001001796	-15302	0	0	0
107	Prrxl1	NM_001001796	-14126	0	0	0
108	Prrxl1	NM_001001796	-15217	0	0	0
109	Prrxl1	NM_001001796	-2153	0	0	0
110	Prrxl1	NM_001001796	533	1	0	1
111	Prrxl1	NM_001001796	-15219	0	0	0
112	Prrxl1	NM_001001796	-14082	0	0	0
113	Atp11c	NM_001001798	-566	1	0	0
114	Atp11c	NM_001001798	-22568	0	0	0
115	Zfp36l2	NM_001001806	-81163	0	0	1
116	Zfp36l2	NM_001001806	-91249	0	0	1
117	Zfp36l2	NM_001001806	-91222	0	0	1
118	Zfp36l2	NM_001001806	5695	0	0	0
119	Zfp36l2	NM_001001806	-91252	0	0	1
