	name	feature.name	dist.to.feature	prom	exon	intron
1	Scap	NM_001001144	2002	0	0	1
2	Scap	NM_001001144	7925	0	0	1
3	Scap	NM_001001144	35351	0	0	1
4	Scap	NM_001001144	1988	0	0	1
5	Fbxo41	NM_001001160	18579	0	1	0
6	Fbxo41	NM_001001160	18593	0	1	0
7	Fbxo41	NM_001001160	18183	0	1	0
8	Fbxo41	NM_001001160	18238	0	1	0
9	Fbxo41	NM_001001160	18221	0	1	0
10	Fbxo41	NM_001001160	18725	0	1	0
11	Fbxo41	NM_001001160	24418	0	1	0
12	Fbxo41	NM_001001160	24175	0	0	1
13	Fbxo41	NM_001001160	24792	0	0	1
14	Taf9b	NM_001001176	275	1	0	1
15	Taf9b	NM_001001176	222	1	1	0
16	Taf9b	NM_001001176	84	1	1	1
17	Taf9b	NM_001001176	336	1	0	1
18	Taf9b	NM_001001176	294	1	0	1
19	Taf9b	NM_001001176	277	1	0	1
20	Taf9b	NM_001001176	337	1	0	1
21	Taf9b	NM_001001176	85	1	1	1
22	Taf9b	NM_001001176	233	1	1	0
23	Taf9b	NM_001001176	190	1	1	0
24	Taf9b	NM_001001176	204	1	1	0
25	Taf9b	NM_001001176	105	1	1	1
26	Taf9b	NM_001001176	102	1	1	1
27	Taf9b	NM_001001176	101	1	1	1
28	Taf9b	NM_001001176	172	1	1	0
29	Taf9b	NM_001001176	270	1	0	1
30	Taf9b	NM_001001176	301	1	0	1
31	Ccdc148	NM_001001178	-22558	0	0	0
32	Ccdc148	NM_001001178	-24289	0	0	0
33	Ccdc148	NM_001001178	55189	0	0	1
34	BC048546	NM_001001179	2209	0	0	1
35	BC048546	NM_001001179	-6467	0	0	0
36	BC031181	NM_001001181	2898	0	1	0
37	Baz2b	NM_001001182	18328	0	0	1
38	Baz2b	NM_001001182	18349	0	0	1
39	Baz2b	NM_001001182	88219	0	0	1
40	Baz2b	NM_001001182	-4763	0	0	0
41	Baz2b	NM_001001182	-4743	0	0	0
42	Baz2b	NM_001001182	-4802	0	0	0
43	Baz2b	NM_001001182	54455	0	0	1
44	Baz2b	NM_001001182	-4764	0	0	0
45	Baz2b	NM_001001182	18475	0	0	1
46	Tmem204	NM_001001183	22824	0	1	1
47	Tmem204	NM_001001183	-3695	0	0	1
48	Tmem204	NM_001001183	2936	0	0	1
49	BC048507	NM_001001185	-524	1	0	0
50	BC048507	NM_001001185	-352	1	0	0
51	BC048507	NM_001001185	-329	1	0	0
52	Zfp456	NM_001001186	-8194	0	0	0
53	Dis3l	NM_001001295	-16766	0	0	0
54	Dis3l	NM_001001295	-14024	0	0	0
55	Dis3l	NM_001001295	-107	1	0	0
56	Slc35d2	NM_001001321	178	1	0	1
57	Slc35d2	NM_001001321	-1030	0	0	0
58	St5	NM_001001326	-20318	0	0	0
59	St5	NM_001001326	-11696	0	0	0
60	Hexdc	NM_001001333	-11065	0	0	1
61	Hexdc	NM_001001333	-11210	0	0	1
62	Hexdc	NM_001001333	-11169	0	0	1
63	Spag6	NM_001001334	82477	0	0	0
64	Spag6	NM_001001334	481	1	0	1
65	Spag6	NM_001001334	101440	0	0	0
66	Spag6	NM_001001334	-10034	0	0	0
67	Spag6	NM_001001334	119372	0	0	0
68	Spag6	NM_001001334	101459	0	0	0
69	Spag6	NM_001001334	82455	0	0	0
70	Spag6	NM_001001334	101908	0	0	0
71	Defb29	NM_001001444	1257	0	1	0
72	Trpv1	NM_001001445	3561	0	0	1
73	AF067063	NM_001001449	11394	0	0	0
74	AF067063	NM_001001449	7808	0	0	0
75	AF067063	NM_001001449	7913	0	0	0
76	AF067063	NM_001001449	-7775	0	0	0
77	Ssxb2	NM_001001450	-14210	0	0	0
78	Tas2r138	NM_001001451	-4116	0	0	1
79	Tas2r144	NM_001001453	-2729	0	0	0
80	Ttyh1	NM_001001454	184	1	1	0
81	Atp8b1	NM_001001488	-12411	0	0	0
82	Mfsd4b5	NM_001001489	-4060	0	0	0
83	Oxgr1	NM_001001490	-79609	0	0	0
84	Oxgr1	NM_001001490	-79586	0	0	0
85	Oxgr1	NM_001001490	-79342	0	0	0
86	Oxgr1	NM_001001490	-43854	0	0	0
87	Oxgr1	NM_001001490	-19531	0	0	0
88	Oxgr1	NM_001001490	-19514	0	0	0
89	Oxgr1	NM_001001490	108646	0	0	0
90	Oxgr1	NM_001001490	-19347	0	0	0
91	Lca5l	NM_001001492	597	1	0	1
92	Wdr83os	NM_001001493	618	1	0	1
93	Wdr83os	NM_001001493	707	1	0	1
94	Tnip3	NM_001001495	31305	0	0	1
95	Gja6	NM_001001496	51790	0	0	1
96	Usp17ld	NM_001001559	-25155	0	0	0
97	Usp17ld	NM_001001559	-25113	0	0	0
98	Usp17ld	NM_001001559	-25106	0	0	0
99	Usp17ld	NM_001001559	-24892	0	0	0
100	Chpf	NM_001001566	2022	0	1	0
101	Chpf	NM_001001566	9701	0	1	0
102	Chpf	NM_001001566	2025	0	1	0
103	Chpf	NM_001001566	11626	0	0	1
104	Chpf	NM_001001566	2060	0	1	0
105	Chpf	NM_001001566	2038	0	1	0
106	Chpf	NM_001001566	1846	0	1	0
107	Dab2ip	NM_001001602	-23977	0	0	1
108	Dab2ip	NM_001001602	21632	0	0	1
109	Dab2ip	NM_001001602	-23586	0	0	1
110	Dab2ip	NM_001001602	-28817	0	0	1
111	Dab2ip	NM_001001602	40201	0	0	0
112	Dab2ip	NM_001001602	-28775	0	0	1
113	Dab2ip	NM_001001602	-28851	0	0	1
