	name	feature.name	dist.to.feature	prom	exon	intron
1	Fbxo41	NM_001001160	21887	0	0	1
2	Dab2ip	NM_001001602	-28796	0	0	1
3	Dab2ip	NM_001001602	-29087	0	0	1
4	Prrxl1	NM_001001796	-321	1	0	0
5	Zfp36l2	NM_001001806	5634	0	0	0
6	A430105I19Rik	NM_001001982	304	1	0	1
7	Nat8l	NM_001001985	165	1	1	0
8	Panx2	NM_001002005	7957	0	1	0
9	Rpl17	NM_001002239	249	1	0	1
10	Ddx11	NM_001003919	145514	0	0	0
11	Brsk1	NM_001003920	13825	0	0	1
12	Zfp619	NM_001004139	34913	0	0	0
13	Slc13a5	NM_001004148	4615	0	0	1
14	Fam222a	NM_001004180	10123	0	0	1
15	Whamm	NM_001004185	405	1	1	0
16	Eif2a	NM_001005509	-187	1	1	0
17	Lmtk3	NM_001005511	10254	0	1	0
18	Mtus1	NM_001005864	-28028	0	1	0
19	Adora1	NM_001008533	17987	0	0	1
20	Mxi1	NM_001008542	-11135	0	0	0
21	Unc13d	NM_001009573	14277	0	1	0
22	Armcx5	NM_001009575	243	1	1	0
23	Sept11	NM_001009818	54889	0	0	1
24	A3galt2	NM_001009819	13621	0	0	0
25	A3galt2	NM_001009819	13589	0	0	0
26	Olfr1463	NM_001011840	35548	0	0	0
27	Slc25a47	NM_001012310	9437	0	1	1
28	E2f8	NM_001013368	-646	1	0	0
29	Zfp930	NM_001013379	-32412	0	0	0
30	Dync1li2	NM_001013380	254	1	1	0
31	Lrrc52	NM_001013382	6495	0	0	1
32	Lingo3	NM_001013758	143	1	0	1
33	Capn11	NM_001013767	-10793	0	0	1
34	Gm973	NM_001013771	24429	0	0	1
35	Dyrk2	NM_001014390	152022	0	0	0
36	Dyrk2	NM_001014390	-89190	0	0	0
37	Dyrk2	NM_001014390	527	1	0	1
38	Snx13	NM_001014973	142692	0	0	0
39	Fam189b	NM_001014995	-1327	0	0	1
40	Btbd11	NM_001017525	10323	0	0	1
41	Otol1	NM_001018031	325540	0	0	0
42	Trim15	NM_001024134	9181	0	1	0
43	Mctp2	NM_001024703	-135771	0	0	0
44	Gm5458	NM_001024706	285700	0	0	0
45	Ifi214	NM_001024721	-21054	0	0	0
46	Ankrd34a	NM_001024851	61	1	1	0
47	Sept10	NM_001024910	172326	0	1	0
48	Bod1	NM_001024919	36489	0	0	0
49	Eno1b	NM_001025388	63381	0	0	0
50	Eno1b	NM_001025388	63381	0	0	0
51	Src	NM_001025395	63363	0	0	0
52	Maf	NM_001025577	389003	0	0	1
53	Cadm1	NM_001025600	27751	0	0	1
54	Olfm4	NM_001030294	1444955	0	0	0
55	Sdhaf1	NM_001033140	276	1	1	0
56	Fbxo33	NM_001033156	-212055	0	0	0
57	Usp31	NM_001033173	-5792	0	0	0
58	Gm732	NM_001033252	-265855	0	0	0
59	Stox1	NM_001033260	-3484	0	0	0
60	Qrich2	NM_001033267	-2321	0	0	0
61	Cdc42bpa	NM_001033285	-42723	0	0	0
62	Zbtb16	NM_001033324	10879	0	0	1
63	Cdc42bpg	NM_001033342	442	1	0	1
64	Grin3a	NM_001033351	-245907	0	0	0
65	Tmem211	NM_001033428	-12618	0	0	0
66	Wdr72	NM_001033500	337844	0	0	0
67	Ube2u	NM_001033773	-123432	0	0	1
68	Gm5820	NM_001033789	-77257	0	0	0
69	B020004J07Rik	NM_001033790	18921	0	0	0
70	Adamts17	NM_001033877	88152	0	0	1
71	Adamts17	NM_001033877	88153	0	0	1
72	Fam92b	NM_001033980	-51956	0	0	0
73	Fam92b	NM_001033980	-117214	0	0	0
74	Gm4907	NM_001034864	261011	0	0	0
75	Dnaic2	NM_001034878	-6674	0	1	1
76	Agap1	NM_001037136	84346	0	0	1
77	Nfatc2	NM_001037178	-28905	0	0	0
78	Baiap2	NM_001037754	12929	0	0	1
79	Col28a1	NM_001037865	118118	0	0	1
80	Ets1	NM_001038642	14060	0	0	1
81	Defb26	NM_001039120	8542	0	0	0
82	Cd226	NM_001039149	113366	0	0	1
83	Rbfox3	NM_001039167	706	1	0	1
84	AI429214	NM_001039220	111450	0	0	0
85	Pigl	NM_001039536	-4	1	0	0
86	Edem3	NM_001039644	124517	0	0	0
87	Rasgrf1	NM_001039655	62761	0	0	1
88	Defb41	NM_001040027	-128075	0	0	0
89	Filip1l	NM_001040397	38375	0	0	1
90	Thsd4	NM_001040426	17894	0	0	1
91	Med15	NM_001040683	-3895	0	0	0
92	Txnrd1	NM_001042523	-3723	0	0	0
93	Eml1	NM_001043336	-22139	0	0	0
94	Hhipl1	NM_001044380	5603	0	1	0
95	Cyb5d1	NM_001045525	-84	1	0	0
96	Pik3r1	NM_001077495	21898	0	0	1
97	Pigw	NM_001077636	-13300	0	0	1
98	Sdhaf3	NM_001077713	55838	0	0	1
99	Sdhaf3	NM_001077713	221299	0	0	0
100	Bcl11b	NM_001079883	-85642	0	0	0
101	Bcl11b	NM_001079883	-565	1	0	0
102	Bcl11b	NM_001079883	-47070	0	0	0
103	Tmpo	NM_001080129	-9255	0	0	0
104	Gsg1	NM_001080553	-9032	0	0	0
105	Gtf2i	NM_001080749	17968	0	0	1
106	Prdm13	NM_001080771	-2949	0	0	0
107	Gm1123	NM_001080776	-51430	0	0	1
108	Trappc10	NM_001081055	-100	1	0	0
109	Slc9a3	NM_001081060	-402	1	0	0
110	Lrp2	NM_001081088	93620	0	1	0
111	Grik3	NM_001081097	-125587	0	0	0
112	Arhgap36	NM_001081123	69	1	1	0
113	Kcna10	NM_001081140	-29338	0	0	0
114	Prickle2	NM_001081146	-22893	0	0	0
115	Npat	NM_001081152	-157	1	0	0
116	Chsy1	NM_001081163	-381	1	0	0
117	Lama5	NM_001081171	20876	0	0	1
118	Adgrf5	NM_001081178	2783	0	0	1
119	Adgrf5	NM_001081178	-55328	0	0	0
120	B3glct	NM_001081204	293	1	0	1
121	Prdm14	NM_001081209	-31346	0	0	1
122	2410131K14Rik	NM_001081236	49499	0	0	0
123	Tln2	NM_001081242	-47454	0	0	0
124	Myh13	NM_001081250	101591	0	0	0
125	Tmem28	NM_001081283	-310	1	0	0
126	Fat1	NM_001081286	-202890	0	0	0
127	Fat1	NM_001081286	-202885	0	0	0
128	Fat1	NM_001081286	-202870	0	0	0
129	Arhgef26	NM_001081295	-180491	0	0	0
130	Mphosph9	NM_001081323	101	1	1	0
131	Neto2	NM_001081324	-30235	0	0	1
132	Hs3st2	NM_001081327	-141321	0	0	0
133	Hs3st2	NM_001081327	-65	1	0	0
134	Plekhg4	NM_001081333	2065	0	0	1
135	Rimbp2	NM_001081388	107060	0	0	1
136	1810013L24Rik	NM_001081400	383375	0	0	0
137	1810013L24Rik	NM_001081400	993	1	0	1
138	Agmat	NM_001081408	3340	0	0	1
139	Gltscr1	NM_001081418	11153	0	1	0
140	Camta1	NM_001081557	296102	0	0	1
141	Tmprss9	NM_001081688	9950	0	0	1
142	Lhx6	NM_001083125	-3414	0	0	0
143	Magi1	NM_001083321	214569	0	0	1
144	Spata31d1c	NM_001083890	19711	0	0	0
145	Nr3c2	NM_001083906	230578	0	0	1
146	Xirp2	NM_001083919	-45971	0	0	0
147	Zfp467	NM_001085416	6182	0	1	1
148	H2al1k	NM_001085537	-18034	0	0	0
149	Tcp11	NM_001085555	-16752	0	0	0
150	Kif26a	NM_001097621	30407	0	1	0
151	Nr1i2	NM_001098404	89311	0	0	1
152	Nr1i2	NM_001098404	13658	0	0	1
153	Tox2	NM_001098799	-36789	0	0	0
154	Pik3c2b	NM_001099276	17426	0	0	1
155	Ajap1	NM_001099299	538	1	1	0
156	Ajap1	NM_001099299	-118322	0	0	0
157	Ajap1	NM_001099299	297546	0	0	0
158	Sult2a4	NM_001101534	-469	1	0	0
159	Gm7244	NM_001101597	-17477	0	0	0
160	Kazn	NM_001109685	-261509	0	0	0
161	Banp	NM_001110100	91542	0	0	0
162	Serac1	NM_001111017	44323	0	1	0
163	Cd34	NM_001111059	99	1	1	0
164	Sox5	NM_001113559	159386	0	0	1
165	Fam189a2	NM_001114174	55386	0	1	0
166	H2al1j	NM_001114529	18136	0	0	0
167	Epha7	NM_001122889	-962097	0	0	0
168	Tfap2a	NM_001122948	20221	0	0	0
169	Prdm12	NM_001123362	14582	0	1	0
170	Pparg	NM_001127330	538	1	0	1
171	Cyld	NM_001128170	159748	0	0	0
172	Epb41	NM_001128606	65	1	1	1
173	Il9r	NM_001134458	71168	0	0	0
174	CK137956	NM_001134733	211781	0	0	0
175	CK137956	NM_001134733	211788	0	0	0
176	CK137956	NM_001134733	-19017	0	0	0
177	Ppp2r5c	NM_001135001	-73685	0	0	0
178	Ccdc36	NM_001135198	-3374	0	0	0
179	3110062M04Rik	NM_001135611	-39	1	0	0
180	Naa20	NM_001141965	-35218	0	0	1
181	Tpx2	NM_001141977	15	1	1	0
182	Acss3	NM_001142804	165800	0	0	1
183	Tcf7l2	NM_001142924	102407	0	0	0
184	H2-Q4	NM_001143689	-60	1	0	0
185	Ppfia4	NM_001144855	19444	0	0	1
186	Spg20	NM_001144987	11159	0	0	1
187	Arhgap40	NM_001145015	38076	0	0	0
188	Arhgap40	NM_001145015	11957	0	0	1
189	Gm13889	NM_001145034	-649	1	0	0
190	Arhgef33	NM_001145452	15241	0	0	1
191	Rfx8	NM_001145660	-13106	0	0	0
192	Rfx8	NM_001145660	32574	0	0	1
193	Gse1	NM_001145896	13308	0	0	1
194	Tenm3	NM_001145937	-20995	0	0	0
195	Mrps10	NM_001146211	-12	1	0	0
196	Per1	NM_001159367	586	1	1	0
197	Gjc1	NM_001159382	425	1	0	1
198	Ces3b	NM_001159415	15467	0	0	0
199	Ces3b	NM_001159415	15504	0	0	0
200	Fip1l1	NM_001159574	49667	0	0	1
201	Lnx1	NM_001159577	-2912	0	0	0
202	Cnih3	NM_001160212	-58856	0	0	0
203	Celf2	NM_001160292	-102177	0	0	1
204	Kif26b	NM_001161665	311292	0	0	1
205	Siva1	NM_001161737	12292	0	1	0
206	Hsd3b3	NM_001161742	-16183	0	0	0
207	Myh11	NM_001161775	19576	0	0	1
208	Mroh1	NM_001162489	10821	0	0	1
209	Troap	NM_001162506	1840	0	0	1
210	Fam174b	NM_001162532	36719	0	0	0
211	Mdm1	NM_001162904	-27943	0	0	0
212	1700024P16Rik	NM_001162980	4851	0	0	1
213	Dnajc13	NM_001163026	-3756	0	0	0
214	Cog5	NM_001163126	181	1	0	1
215	Etv1	NM_001163154	185091	0	0	0
216	Etv1	NM_001163154	185119	0	0	0
217	Etv1	NM_001163154	50210	0	0	1
218	Enthd1	NM_001163189	129857	0	0	0
219	Cdc42ep4	NM_001163346	-104400	0	0	1
220	Tmem170b	NM_001163572	148	1	0	1
221	Sult6b1	NM_001163625	2485	0	0	1
222	Nlrx1	NM_001163742	-5003	0	1	0
223	Pdik1l	NM_001163794	990	1	0	1
224	Tgif1	NM_001164074	-18683	0	0	0
225	Tgif1	NM_001164077	139414	0	0	1
226	Tia1	NM_001164079	59	1	1	0
227	Gm4847	NM_001164312	49136	0	0	0
228	Dnajc6	NM_001164585	8559	0	0	1
229	Irf2bp2	NM_001164598	672	1	1	0
230	Atp13a4	NM_001164612	105	1	1	0
231	Rnf14	NM_001164621	-12	1	1	0
232	Endov	NM_001164636	-38725	0	0	0
233	Soga1	NM_001164663	30094	0	0	1
234	Soga1	NM_001164663	13236	0	0	1
235	Gm6710	NM_001164689	50228	0	0	0
236	Gm6710	NM_001164689	50228	0	0	0
237	Crlf2	NM_001164735	8935	0	0	0
238	Fam47c	NM_001164739	-59713	0	0	0
239	Robo3	NM_001164767	-27387	0	0	0
240	Mia2	NM_001165253	459	1	0	1
241	Akt1	NM_001165894	-534	1	0	0
242	Cldn14	NM_001165926	-27914	0	0	1
243	Rgs9	NM_001165934	39068	0	0	1
244	Lingo2	NM_001166001	289250	0	0	0
245	Hnrnpf	NM_001166427	416	1	0	1
246	Spock1	NM_001166463	463866	0	0	1
247	Spock1	NM_001166463	463875	0	0	1
248	Spock1	NM_001166463	423939	0	0	1
249	Vmn1r238	NM_001167539	117705	0	0	0
250	Ankrd50	NM_001167883	45291	0	0	0
251	Ephb1	NM_001168296	382162	0	0	1
252	Ephb1	NM_001168296	199540	0	0	1
253	Phf14	NM_001168382	271	1	1	0
254	Mapk14	NM_001168513	-279	1	0	1
255	Tsku	NM_001168540	130	1	0	1
256	Slc35b3	NM_001170431	-311082	0	0	0
257	Slc35b3	NM_001170431	-311085	0	0	0
258	A4galt	NM_001170954	249	1	0	1
259	Mta3	NM_001171054	30752	0	0	1
