	name	feature.name	dist.to.feature	prom	exon	intron
1	Mfsd4b5	NM_001001489	-4093	0	0	0
2	2510009E07Rik	NM_001001881	98718	0	0	1
3	Best3	NM_001007583	14959	0	0	1
4	Scgb2b20	NM_001009952	36645	0	0	0
5	Rnase13	NM_001011687	-9567	0	0	0
6	Fut10	NM_001012517	32002	0	0	1
7	Zfp930	NM_001013379	-32412	0	0	0
8	Tmem151b	NM_001013749	4422	0	1	0
9	Triobp	NM_001024716	-5894	0	0	1
10	Apol7b	NM_001024848	13165	0	0	1
11	Eno1b	NM_001025388	141095	0	0	0
12	Eno1b	NM_001025388	141095	0	0	0
13	Kcnc2	NM_001025581	177915	0	0	1
14	Pdzd4	NM_001029868	695	1	0	1
15	Fbxo33	NM_001033156	-212055	0	0	0
16	Skap1	NM_001033186	75788	0	0	1
17	Gm266	NM_001033248	-178	1	0	0
18	Qrich2	NM_001033267	391	1	0	1
19	Zbtb16	NM_001033324	15884	0	0	1
20	Lrrc30	NM_001033340	80295	0	0	0
21	Ifitm6	NM_001033632	-837	1	0	0
22	Adamts17	NM_001033877	27695	0	0	1
23	Limk2	NM_001034030	2811	0	1	1
24	Nfatc2	NM_001037178	-28905	0	0	0
25	Cldn19	NM_001038590	1646	0	0	1
26	Defb25	NM_001039122	8085	0	0	0
27	Cd226	NM_001039149	113366	0	0	1
28	Triobp	NM_001039156	3410	0	0	1
29	Slc30a2	NM_001039677	-3718	0	0	0
30	Spint5	NM_001040055	8459	0	0	0
31	Filip1l	NM_001040397	38375	0	0	1
32	Thsd4	NM_001040426	17894	0	0	1
33	Shroom4	NM_001040459	273	1	0	1
34	Dear1	NM_001040461	-20286	0	0	0
35	Prl2c1	NM_001045532	64117	0	0	0
36	Bdnf	NM_001048139	564	1	0	1
37	Nrp2	NM_001077404	19198	0	0	1
38	Hdx	NM_001080549	-197811	0	0	0
39	Gtf2i	NM_001080746	-18400	0	0	0
40	Gtf2i	NM_001080749	17968	0	0	1
41	Prdm13	NM_001080771	-2949	0	0	0
