	name	feature.name	dist.to.feature	prom	exon	intron
1	Lmtk3	NM_001005511	10254	0	1	0
2	Mtus1	NM_001005864	-28028	0	1	0
3	Sept11	NM_001009818	54889	0	0	1
4	A3galt2	NM_001009819	13589	0	0	0
5	A3galt2	NM_001009819	13621	0	0	0
6	Gm973	NM_001013771	24429	0	0	1
7	Btbd11	NM_001017525	10323	0	0	1
8	Trim15	NM_001024134	9181	0	1	0
9	Ifi214	NM_001024721	-21054	0	0	0
10	Sept10	NM_001024910	172326	0	1	0
11	Qrich2	NM_001033267	-2321	0	0	0
12	Gm5820	NM_001033789	-77257	0	0	0
13	Gm4907	NM_001034864	261011	0	0	0
14	Col28a1	NM_001037865	118118	0	0	1
15	AI429214	NM_001039220	111450	0	0	0
16	Sdhaf3	NM_001077713	55838	0	0	1
17	Sdhaf3	NM_001077713	221299	0	0	0
18	Gm1123	NM_001080776	-51430	0	0	1
19	Arhgef26	NM_001081295	-180491	0	0	0
20	Agmat	NM_001081408	3340	0	0	1
21	Spata31d1c	NM_001083890	19711	0	0	0
22	Xirp2	NM_001083919	-45971	0	0	0
23	Kif26a	NM_001097621	30407	0	1	0
24	Nr1i2	NM_001098404	89311	0	0	1
25	Nr1i2	NM_001098404	13658	0	0	1
26	Ajap1	NM_001099299	297546	0	0	0
27	Naa20	NM_001141965	-35218	0	0	1
28	Ppfia4	NM_001144855	19444	0	0	1
29	Arhgap40	NM_001145015	11957	0	0	1
30	Arhgap40	NM_001145015	38076	0	0	0
31	Rfx8	NM_001145660	32574	0	0	1
32	Lnx1	NM_001159577	-2912	0	0	0
33	Celf2	NM_001160292	-102177	0	0	1
34	Nlrx1	NM_001163742	-5003	0	1	0
35	Crlf2	NM_001164735	8935	0	0	0
36	Rbms3	NM_001172123	78414	0	0	1
37	Gm6588	NM_001177504	22285	0	1	0
38	Gm6588	NM_001177504	37527	0	0	1
39	Gm7102	NM_001177513	97267	0	0	1
40	Dcdc2c	NM_001177964	29799	0	0	1
41	Slc7a9	NM_001199015	-13440	0	0	1
42	Pnoc	NM_001205075	1636	0	0	1
43	Lactbl1	NM_001243262	38056	0	1	0
44	Lactbl1	NM_001243262	33151	0	0	1
45	Slc6a15	NM_001252330	242119	0	0	0
46	Cdh23	NM_001252635	115500	0	0	1
47	Tbc1d7	NM_001252639	-40327	0	0	1
48	Fstl5	NM_001253719	686951	0	0	0
49	Hdac9	NM_001271386	33956	0	0	1
50	Cdc7	NM_001271566	87434	0	0	0
51	Eno3	NM_001276285	1596	0	0	1
52	Pex5	NM_001277330	4339	0	0	1
53	Pex5	NM_001277330	4284	0	0	1
54	Adcy7	NM_007406	410	1	0	1
55	Bmp2	NM_007553	24577	0	0	0
56	Cbx4	NM_007625	5125	0	1	0
57	Cenpc1	NM_007683	204901	0	0	0
58	Igfbp7	NM_008048	-175	1	0	0
59	Hsd17b3	NM_008291	94910	0	0	0
60	Ibsp	NM_008318	4008	0	0	1
