	name	feature.name	dist.to.feature	prom	exon	intron
1	Fbxo41	NM_001001160	18666	0	1	0
2	Fbxo41	NM_001001160	35	1	1	0
3	Fbxo41	NM_001001160	18221	0	1	0
4	Fbxo41	NM_001001160	18215	0	1	0
5	Fbxo41	NM_001001160	21930	0	1	0
6	Fbxo41	NM_001001160	18363	0	1	0
7	Fbxo41	NM_001001160	18779	0	1	0
8	Baz2b	NM_001001182	18349	0	0	1
9	Baz2b	NM_001001182	114615	0	0	1
10	Tmem204	NM_001001183	29437	0	0	1
11	Tmem204	NM_001001183	22845	0	1	1
12	BC048507	NM_001001185	456	1	1	0
13	BC048507	NM_001001185	325197	0	0	0
14	Zfp456	NM_001001186	-8186	0	0	0
15	Dis3l	NM_001001295	-103	1	0	0
16	Tbx10	NM_001001320	519	1	0	1
17	Hexdc	NM_001001333	-11065	0	0	1
18	Spag6	NM_001001334	101942	0	0	0
19	Spag6	NM_001001334	101605	0	0	0
20	Spag6	NM_001001334	101406	0	0	0
21	Spag6	NM_001001334	-344	1	0	0
22	Spag6	NM_001001334	-318	1	0	0
23	Spag6	NM_001001334	68147	0	0	0
24	Defb29	NM_001001444	-14297	0	0	0
25	Trpv1	NM_001001445	138	1	1	0
26	Trpv1	NM_001001445	3395	0	1	0
27	Ssxb2	NM_001001450	-14793	0	0	0
28	Atp8b1	NM_001001488	148	1	1	0
29	Atp8b1	NM_001001488	211	1	1	0
30	Atp8b1	NM_001001488	-449	1	0	0
31	Atp8b1	NM_001001488	2054	0	0	1
32	Mfsd4b5	NM_001001489	-4093	0	0	0
33	Oxgr1	NM_001001490	-106258	0	0	0
34	Oxgr1	NM_001001490	-40625	0	0	0
35	Oxgr1	NM_001001490	-106262	0	0	0
36	Oxgr1	NM_001001490	-95579	0	0	0
37	Oxgr1	NM_001001490	-60839	0	0	0
38	Oxgr1	NM_001001490	108669	0	0	0
39	Tpm4	NM_001001491	662	1	0	1
40	Lca5l	NM_001001492	674	1	0	1
41	Lca5l	NM_001001492	373	1	0	1
42	Chpf	NM_001001566	9757	0	1	0
43	Chpf	NM_001001566	9764	0	1	0
44	Chpf	NM_001001566	2804	0	1	0
45	Chpf	NM_001001566	2971	0	0	1
46	Dab2ip	NM_001001602	-28796	0	0	1
47	Dab2ip	NM_001001602	27934	0	1	0
48	Dab2ip	NM_001001602	28562	0	1	0
49	Dab2ip	NM_001001602	-28736	0	0	1
50	Dab2ip	NM_001001602	28515	0	1	0
51	Prss48	NM_001001650	-31942	0	0	0
52	Prss48	NM_001001650	-32064	0	0	0
53	Prss48	NM_001001650	28518	0	0	0
54	Prss48	NM_001001650	17731	0	0	0
55	Itprip	NM_001001738	21493	0	1	0
56	Itprip	NM_001001738	24598	0	1	0
57	Zfp239	NM_001001792	8398	0	1	0
58	Prrxl1	NM_001001796	-2024	0	0	0
59	Prrxl1	NM_001001796	-1838	0	0	0
60	Prrxl1	NM_001001796	-2003	0	0	0
61	Prrxl1	NM_001001796	-31931	0	1	0
62	Prrxl1	NM_001001796	-2220	0	0	0
63	Prrxl1	NM_001001796	-273	1	0	0
64	Prrxl1	NM_001001796	150	1	0	1
65	Prrxl1	NM_001001796	-1839	0	0	0
66	Prrxl1	NM_001001796	-2135	0	0	0
67	Prrxl1	NM_001001796	533	1	0	1
68	Prrxl1	NM_001001796	5904	0	0	1
69	Prrxl1	NM_001001796	-2048	0	0	0
70	Prrxl1	NM_001001796	153	1	0	1
71	Prrxl1	NM_001001796	-937	1	0	0
72	Atp11c	NM_001001798	-338	1	0	0
73	Atp11c	NM_001001798	-288	1	0	0
74	Atp11c	NM_001001798	-67	1	0	0
75	Atp11c	NM_001001798	-40	1	0	0
76	Atp11c	NM_001001798	-318	1	0	0
77	Atp11c	NM_001001798	-146	1	0	0
78	Atp11c	NM_001001798	-18	1	0	0
79	Atp11c	NM_001001798	-5	1	0	0
80	Atp11c	NM_001001798	-334	1	0	0
81	Atp11c	NM_001001798	-43	1	0	0
82	Zfp36l2	NM_001001806	40019	0	0	0
83	Zfp36l2	NM_001001806	1490	0	1	0
84	Zfp36l2	NM_001001806	41839	0	0	0
85	Mpzl1	NM_001001880	-33674	0	0	1
86	2510009E07Rik	NM_001001881	52573	0	0	1
87	2510009E07Rik	NM_001001881	35916	0	0	1
88	2510009E07Rik	NM_001001881	66391	0	0	1
89	2510009E07Rik	NM_001001881	29584	0	0	1
90	2510009E07Rik	NM_001001881	66527	0	0	1
91	Hecw2	NM_001001883	-4655	0	0	0
92	Hecw2	NM_001001883	-4679	0	0	0
93	Nckap5l	NM_001001884	32240	0	0	1
94	Nckap5l	NM_001001884	23622	0	1	0
95	Nckap5l	NM_001001884	30439	0	1	0
96	Nckap5l	NM_001001884	30697	0	1	0
97	Nckap5l	NM_001001884	31287	0	1	0
98	Nckap5l	NM_001001884	30445	0	1	0
99	Nckap5l	NM_001001884	30440	0	1	0
100	Tmem151a	NM_001001885	-16	1	0	0
101	Tmem151a	NM_001001885	4474	0	1	0
102	Eea1	NM_001001932	-13191	0	0	0
103	Eea1	NM_001001932	221992	0	0	0
104	Megf10	NM_001001979	435	1	1	0
105	Limch1	NM_001001980	54585	0	0	1
106	Limch1	NM_001001980	-391	1	0	0
107	Limch1	NM_001001980	736	1	0	1
108	Limch1	NM_001001980	-273	1	0	0
109	Limch1	NM_001001980	14	1	1	0
110	A430105I19Rik	NM_001001982	295	1	0	1
111	A430105I19Rik	NM_001001982	304	1	0	1
112	A430105I19Rik	NM_001001982	-35	1	0	0
113	A430105I19Rik	NM_001001982	3094	0	1	0
114	Kdm2a	NM_001001984	-1386	0	0	0
115	Kdm2a	NM_001001984	-1304	0	0	0
116	Kdm2a	NM_001001984	-1387	0	0	0
117	Kdm2a	NM_001001984	-1413	0	0	0
118	Kdm2a	NM_001001984	-1410	0	0	0
119	Nat8l	NM_001001985	1536	0	0	1
120	Nat8l	NM_001001985	-524	1	0	0
121	Nol4l	NM_001001986	23888	0	1	0
122	Panx2	NM_001002005	7931	0	1	0
123	Tdrd1	NM_001002238	-3448	0	0	0
124	Tdrd1	NM_001002241	19718	0	0	1
125	Adgrg6	NM_001002268	-596	1	0	0
