	name	feature.name	dist.to.feature	prom	exon	intron
1	Zfp85	NM_001001130	81	1	1	1
2	Scap	NM_001001144	7925	0	0	1
3	Scap	NM_001001144	35351	0	0	1
4	Fbxo41	NM_001001160	18750	0	1	0
5	Fbxo41	NM_001001160	18188	0	1	0
6	Fbxo41	NM_001001160	18373	0	1	0
7	Fbxo41	NM_001001160	24732	0	1	0
8	Fbxo41	NM_001001160	18267	0	1	0
9	Taf9b	NM_001001176	102	1	1	1
10	Taf9b	NM_001001176	246	1	1	0
11	Taf9b	NM_001001176	85	1	1	1
12	Taf9b	NM_001001176	221	1	1	0
13	Taf9b	NM_001001176	233	1	1	0
14	Ccdc148	NM_001001178	-24099	0	0	0
15	Ccdc148	NM_001001178	-24104	0	0	0
16	Ccdc148	NM_001001178	55119	0	0	1
17	Ccdc148	NM_001001178	37383	0	0	1
18	BC048546	NM_001001179	-6478	0	0	0
19	BC048546	NM_001001179	-6467	0	0	0
20	BC048546	NM_001001179	-6669	0	0	0
21	Baz2b	NM_001001182	-4763	0	0	0
22	Baz2b	NM_001001182	18328	0	0	1
23	Baz2b	NM_001001182	114737	0	0	1
24	Baz2b	NM_001001182	54529	0	0	1
25	Tmem204	NM_001001183	22814	0	1	1
26	Tmem204	NM_001001183	-8247	0	0	1
27	BC048507	NM_001001185	-363	1	0	0
28	BC048507	NM_001001185	305090	0	0	0
29	BC048507	NM_001001185	35016	0	0	0
30	Zfp456	NM_001001186	-8186	0	0	0
31	Dis3l	NM_001001295	-14073	0	0	0
32	Thnsl1	NM_001001297	31542	0	0	0
33	Thnsl1	NM_001001297	64073	0	0	0
34	Thnsl1	NM_001001297	31788	0	0	0
35	Thnsl1	NM_001001297	31478	0	0	0
36	Thnsl1	NM_001001297	76510	0	0	0
37	Pramel4	NM_001001319	-18384	0	0	0
38	Hexdc	NM_001001333	-1347	0	1	0
39	Spag6	NM_001001334	101908	0	0	0
40	Spag6	NM_001001334	112474	0	0	0
41	Spag6	NM_001001334	481	1	0	1
42	Spag6	NM_001001334	-10034	0	0	0
43	Spag6	NM_001001334	101596	0	0	0
44	Defb29	NM_001001444	-14339	0	0	0
45	Defb29	NM_001001444	1257	0	1	0
46	Cyp2c44	NM_001001446	16523	0	0	1
47	AF067063	NM_001001449	7857	0	0	0
48	Ssxb2	NM_001001450	-14869	0	0	0
49	Ttyh1	NM_001001454	203	1	1	0
50	Ttyh1	NM_001001454	307	1	0	1
51	Atp8b1	NM_001001488	-12181	0	0	0
52	Oxgr1	NM_001001490	-79609	0	0	0
53	Oxgr1	NM_001001490	-38306	0	0	0
54	Oxgr1	NM_001001490	108445	0	0	0
55	Oxgr1	NM_001001490	-199	1	0	0
56	Oxgr1	NM_001001490	53498	0	0	0
57	Oxgr1	NM_001001490	-40813	0	0	0
58	Oxgr1	NM_001001490	108614	0	0	0
59	Oxgr1	NM_001001490	-79462	0	0	0
60	Oxgr1	NM_001001490	-79586	0	0	0
61	Wdr83os	NM_001001493	570	1	0	1
62	Wdr83os	NM_001001493	719	1	0	1
63	Tnip3	NM_001001495	-97861	0	0	0
64	Gja6	NM_001001496	34508	0	0	1
65	Gja6	NM_001001496	51790	0	0	1
66	Chpf	NM_001001566	1811	0	1	0
67	Chpf	NM_001001566	1846	0	1	0
68	Chpf	NM_001001566	9668	0	1	0
69	Dab2ip	NM_001001602	40887	0	0	0
70	Dab2ip	NM_001001602	40727	0	0	0
71	Dab2ip	NM_001001602	40897	0	0	0
72	Dab2ip	NM_001001602	28562	0	1	0
73	Dab2ip	NM_001001602	-28816	0	0	1
74	Dab2ip	NM_001001602	-29966	0	0	1
75	Dab2ip	NM_001001602	-28762	0	0	1
76	Dab2ip	NM_001001602	709	1	0	1
77	Dab2ip	NM_001001602	-28761	0	0	1
78	Dab2ip	NM_001001602	-28895	0	0	1
79	Dab2ip	NM_001001602	27897	0	1	0
80	Dab2ip	NM_001001602	-23802	0	0	1
81	Dab2ip	NM_001001602	-28796	0	0	1
82	Dab2ip	NM_001001602	17835	0	1	0
83	Dab2ip	NM_001001602	-28883	0	0	1
84	Dab2ip	NM_001001602	26881	0	1	0
85	Dab2ip	NM_001001602	-28736	0	0	1
86	Dab2ip	NM_001001602	893	1	0	1
87	Dab2ip	NM_001001602	-24007	0	0	1
88	Dab2ip	NM_001001602	-24146	0	0	1
89	Dab2ip	NM_001001602	-28728	0	0	1
90	Dab2ip	NM_001001602	-24132	0	0	1
91	Dab2ip	NM_001001602	-13752	0	0	1
92	Prss48	NM_001001650	-52	1	0	0
93	Prss48	NM_001001650	5322	0	0	1
94	Sohlh1	NM_001001714	59	1	1	0
95	Whsc1l1	NM_001001735	-1139	0	0	0
96	Itprip	NM_001001738	22713	0	1	0
