	name	feature.name	dist.to.feature	prom	exon	intron
1	Fbxo41	NM_001001160	24732	0	1	0
2	Taf9b	NM_001001176	221	1	1	0
3	Taf9b	NM_001001176	233	1	1	0
4	Baz2b	NM_001001182	-4802	0	0	0
5	Thnsl1	NM_001001297	31788	0	0	0
6	St5	NM_001001326	-11940	0	0	0
7	Hexdc	NM_001001333	-11065	0	0	1
8	Spag6	NM_001001334	112474	0	0	0
9	Cyp2c44	NM_001001446	16523	0	0	1
10	Tas2r138	NM_001001451	7854	0	0	1
11	Oxgr1	NM_001001490	-40813	0	0	0
12	Oxgr1	NM_001001490	-60633	0	0	0
13	Oxgr1	NM_001001490	-112547	0	0	0
14	Oxgr1	NM_001001490	108614	0	0	0
15	Oxgr1	NM_001001490	-107210	0	0	0
16	Dab2ip	NM_001001602	40897	0	0	0
17	Dab2ip	NM_001001602	40887	0	0	0
18	Itprip	NM_001001738	22626	0	1	0
19	Itprip	NM_001001738	22367	0	1	0
20	Prrxl1	NM_001001796	-15219	0	0	0
21	Atp11c	NM_001001798	-137	1	0	0
22	Atp11c	NM_001001798	-117	1	0	0
23	Zfp36l2	NM_001001806	28892	0	0	0
24	Zfp36l2	NM_001001806	-91242	0	0	1
25	Zfp36l2	NM_001001806	24472	0	0	0
26	Zfp36l2	NM_001001806	41847	0	0	0
27	Zfp36l2	NM_001001806	4831	0	0	0
28	Olfr279	NM_001001807	-4017	0	0	0
29	2510009E07Rik	NM_001001881	98859	0	0	1
30	2510009E07Rik	NM_001001881	81837	0	0	1
31	2510009E07Rik	NM_001001881	98875	0	0	1
32	Nckap5l	NM_001001884	32108	0	1	0
33	Tmem151a	NM_001001885	4474	0	1	0
34	Eea1	NM_001001932	-124942	0	0	0
35	A430105I19Rik	NM_001001982	131	1	1	0
36	Gp1bb	NM_001001999	-2442	0	1	0
37	Rpl17	NM_001002239	-7812	0	0	0
38	Rpl17	NM_001002239	-6074	0	0	0
39	Adgrg6	NM_001002268	-60308	0	0	0
40	Adgrg6	NM_001002268	75993	0	1	0
41	Smg6	NM_001002764	3653	0	1	0
42	Smg6	NM_001002764	3615	0	1	0
43	Ccin	NM_001002787	624	1	1	0
44	AI413582	NM_001002895	-21839	0	0	1
45	AI413582	NM_001002895	-21861	0	0	1
46	Bfsp2	NM_001002896	-21752	0	0	1
47	Bfsp2	NM_001002896	8712	0	0	1
48	Pcdhac2	NM_001003672	12191	0	1	1
49	Erbb2	NM_001003817	10590	0	1	0
50	Erbb2	NM_001003817	6833	0	0	1
51	Erbb2	NM_001003817	3178	0	0	1
52	Ddx11	NM_001003919	37392	0	0	0
53	Rab3ip	NM_001003950	11039	0	1	0
54	Ces5a	NM_001003951	4424	0	0	1
55	Ces5a	NM_001003951	4418	0	0	1
56	Crtc1	NM_001004062	-13064	0	1	0
57	Crtc1	NM_001004062	-13095	0	1	0
58	Zfp619	NM_001004139	141508	0	0	0
59	Zfp366	NM_001004149	-2332	0	0	0
60	Psg22	NM_001004152	16193	0	0	0
61	9930012K11Rik	NM_001004155	-8350	0	0	1
62	Scarf1	NM_001004157	1653	0	1	0
63	Sgpp2	NM_001004173	12794	0	0	1
64	Maml3	NM_001004176	151095	0	0	1
65	Maml3	NM_001004176	151229	0	0	1
66	Fam222a	NM_001004180	10423	0	0	1
67	Tmem178b	NM_001004182	20353	0	0	1
68	Slc28a1	NM_001004184	29985	0	0	1
69	Slc28a1	NM_001004184	-17413	0	0	1
70	Whamm	NM_001004185	56327	0	0	1
71	Whamm	NM_001004185	56343	0	0	1
72	2610020H08Rik	NM_001004187	18108	0	0	1
73	Nuak1	NM_001004363	-43099	0	0	0
74	Actr3b	NM_001004365	128701	0	0	0
75	Cxxc4	NM_001004367	-46476	0	0	0
76	Cxxc4	NM_001004367	-118425	0	0	0
77	Gpr158	NM_001004761	155224	0	0	1
