	name	feature.name	dist.to.feature	prom	exon	intron
1	Scap	NM_001001144	1988	0	0	1
2	Fbxo41	NM_001001160	18719	0	1	0
3	Fbxo41	NM_001001160	18579	0	1	0
4	Fbxo41	NM_001001160	24732	0	1	0
5	Fbxo41	NM_001001160	22090	0	1	0
6	Fbxo41	NM_001001160	18446	0	1	0
7	Fbxo41	NM_001001160	24738	0	1	0
8	Fbxo41	NM_001001160	18183	0	1	0
9	Taf9b	NM_001001176	301	1	0	1
10	Taf9b	NM_001001176	102	1	1	1
11	Taf9b	NM_001001176	337	1	0	1
12	Taf9b	NM_001001176	336	1	0	1
13	Taf9b	NM_001001176	190	1	1	0
14	Taf9b	NM_001001176	222	1	1	0
15	Taf9b	NM_001001176	85	1	1	1
16	Taf9b	NM_001001176	172	1	1	0
17	Taf9b	NM_001001176	52	1	1	1
18	Ccdc148	NM_001001178	55119	0	0	1
19	BC048546	NM_001001179	1414	0	0	1
20	BC048546	NM_001001179	-6444	0	0	0
21	BC048546	NM_001001179	-5900	0	0	0
22	Baz2b	NM_001001182	-4743	0	0	0
23	Baz2b	NM_001001182	-4764	0	0	0
24	Baz2b	NM_001001182	-4763	0	0	0
25	Baz2b	NM_001001182	-4802	0	0	0
26	Baz2b	NM_001001182	114581	0	0	1
27	Tmem204	NM_001001183	22824	0	1	1
28	Tmem204	NM_001001183	22947	0	1	1
29	Tmem204	NM_001001183	22848	0	1	1
30	Tmem204	NM_001001183	-3568	0	0	1
31	BC048507	NM_001001185	-352	1	0	0
32	BC048507	NM_001001185	-401	1	0	0
33	BC048507	NM_001001185	-366	1	0	0
34	BC048507	NM_001001185	35016	0	0	0
35	Dis3l	NM_001001295	-561	1	0	0
36	Dis3l	NM_001001295	-16766	0	0	0
37	Dis3l	NM_001001295	-5577	0	0	0
38	Thnsl1	NM_001001297	76529	0	0	0
39	Thnsl1	NM_001001297	31542	0	0	0
40	Thnsl1	NM_001001297	31788	0	0	0
41	Slc35d2	NM_001001321	128	1	1	0
42	St5	NM_001001326	-20318	0	0	0
43	St5	NM_001001326	-20348	0	0	0
44	St5	NM_001001326	-11940	0	0	0
45	Hexdc	NM_001001333	-11065	0	0	1
46	Hexdc	NM_001001333	-1338	0	1	0
47	Spag6	NM_001001334	-9931	0	0	0
48	Spag6	NM_001001334	112474	0	0	0
49	Defb29	NM_001001444	-14449	0	0	0
50	AF067063	NM_001001449	7857	0	0	0
51	AF067063	NM_001001449	11394	0	0	0
52	Ssxb2	NM_001001450	-14210	0	0	0
53	Mfsd4b5	NM_001001489	-4093	0	0	0
54	Oxgr1	NM_001001490	-60633	0	0	0
55	Oxgr1	NM_001001490	108425	0	0	0
56	Oxgr1	NM_001001490	-79609	0	0	0
57	Oxgr1	NM_001001490	-47528	0	0	0
58	Oxgr1	NM_001001490	-199	1	0	0
59	Oxgr1	NM_001001490	-47553	0	0	0
60	Oxgr1	NM_001001490	-40813	0	0	0
61	Oxgr1	NM_001001490	-107210	0	0	0
62	Oxgr1	NM_001001490	-112525	0	0	0
63	Lca5l	NM_001001492	6969	0	0	1
64	Wdr83os	NM_001001493	618	1	0	1
65	Gja6	NM_001001496	34508	0	0	1
66	Gja6	NM_001001496	17548	0	0	1
67	Usp17ld	NM_001001559	-25155	0	0	0
68	Chpf	NM_001001566	4252	0	1	0
69	Chpf	NM_001001566	2038	0	1	0
70	Chpf	NM_001001566	893	1	0	1
71	Chpf	NM_001001566	4242	0	1	0
72	Chpf	NM_001001566	2022	0	1	0
73	Chpf	NM_001001566	2025	0	1	0
74	Dab2ip	NM_001001602	709	1	0	1
75	Dab2ip	NM_001001602	54942	0	0	0
76	Dab2ip	NM_001001602	40201	0	0	0
77	Dab2ip	NM_001001602	27897	0	1	0
78	Dab2ip	NM_001001602	-28761	0	0	1
79	Dab2ip	NM_001001602	3076	0	0	1
80	Dab2ip	NM_001001602	17835	0	1	0
81	Dab2ip	NM_001001602	28548	0	1	0
82	Dab2ip	NM_001001602	-30410	0	1	0
83	Dab2ip	NM_001001602	26881	0	1	0
84	Prss48	NM_001001650	28487	0	0	0
85	Prss48	NM_001001650	-11769	0	0	0
86	Prss48	NM_001001650	-52	1	0	0
87	Prss48	NM_001001650	8561	0	1	0
88	Prss48	NM_001001650	8573	0	1	0
89	Itprip	NM_001001738	22674	0	1	0
90	Itprip	NM_001001738	14335	0	0	1
91	Itprip	NM_001001738	22712	0	1	0
92	Itprip	NM_001001738	22367	0	1	0
93	Itprip	NM_001001738	14467	0	0	1
94	Itprip	NM_001001738	22333	0	1	0
95	Itprip	NM_001001738	21460	0	1	0
96	Itprip	NM_001001738	19638	0	0	1
97	Itprip	NM_001001738	22718	0	1	0
98	Itprip	NM_001001738	18277	0	0	1
99	Itprip	NM_001001738	14430	0	0	1
100	Itprip	NM_001001738	22503	0	1	0
101	Itprip	NM_001001738	22713	0	1	0
102	Itprip	NM_001001738	7967	0	0	1
103	Itprip	NM_001001738	22464	0	1	0
104	Zfp239	NM_001001792	8398	0	1	0
105	Prrxl1	NM_001001796	-14082	0	0	0
106	Prrxl1	NM_001001796	-2178	0	0	0
107	Prrxl1	NM_001001796	-14126	0	0	0
108	Prrxl1	NM_001001796	8491	0	1	0
109	Prrxl1	NM_001001796	-1787	0	0	0
110	Atp11c	NM_001001798	-117	1	0	0
111	Atp11c	NM_001001798	-288	1	0	0
112	Atp11c	NM_001001798	-137	1	0	0
113	Zfp36l2	NM_001001806	28892	0	0	0
114	Zfp36l2	NM_001001806	5618	0	0	0
115	Zfp36l2	NM_001001806	-91222	0	0	1
116	Zfp36l2	NM_001001806	2257	0	1	0
117	Zfp36l2	NM_001001806	-91249	0	0	1
118	Zfp36l2	NM_001001806	6204	0	0	0
119	Zfp36l2	NM_001001806	6281	0	0	0
120	Zfp36l2	NM_001001806	41847	0	0	0
