	name	feature.name	dist.to.feature	prom	exon	intron
1	Fbxo41	NM_001001160	18363	0	1	0
2	Fbxo41	NM_001001160	35	1	1	0
3	Spag6	NM_001001334	122709	0	0	0
4	Spag6	NM_001001334	101414	0	0	0
5	Atp8b1	NM_001001488	-449	1	0	0
6	Atp8b1	NM_001001488	211	1	1	0
7	Oxgr1	NM_001001490	-95579	0	0	0
8	Dab2ip	NM_001001602	-28728	0	0	1
9	Dab2ip	NM_001001602	-28736	0	0	1
10	Prrxl1	NM_001001796	-2196	0	0	0
11	Prrxl1	NM_001001796	-2220	0	0	0
12	Prrxl1	NM_001001796	-273	1	0	0
13	Prrxl1	NM_001001796	-322	1	0	0
14	Prrxl1	NM_001001796	-282	1	0	0
15	Atp11c	NM_001001798	-67	1	0	0
16	Atp11c	NM_001001798	-43	1	0	0
17	Mpzl1	NM_001001880	-11374	0	0	0
18	2510009E07Rik	NM_001001881	52573	0	0	1
19	Hecw2	NM_001001883	-4679	0	0	0
20	Nckap5l	NM_001001884	30445	0	1	0
21	Tmem151a	NM_001001885	4474	0	1	0
22	Eea1	NM_001001932	-117648	0	0	0
23	Limch1	NM_001001980	54585	0	0	1
24	Limch1	NM_001001980	52896	0	0	1
25	Limch1	NM_001001980	-273	1	0	0
26	Nat8l	NM_001001985	1536	0	0	1
27	Nat8l	NM_001001985	-524	1	0	0
28	Tdrd1	NM_001002238	-3448	0	0	0
29	Adgrg6	NM_001002268	-592	1	0	0
30	Adgrg6	NM_001002268	-596	1	0	0
31	Rab44	NM_001002786	29135	0	0	1
32	Ccin	NM_001002787	1287	0	1	0
33	Krt87	NM_001003668	989	1	0	1
34	Pcdhac2	NM_001003672	626	1	1	1
35	Pcdhac2	NM_001003672	647	1	1	1
36	Atg9a	NM_001003917	5038	0	1	0
37	Usp7	NM_001003918	-9899	0	0	0
38	Pid1	NM_001003948	373760	0	0	0
39	Rab11fip5	NM_001003955	449	1	1	0
40	Rab11fip5	NM_001003955	450	1	1	0
41	Fam170a	NM_001004061	143759	0	0	0
42	Crtc1	NM_001004062	-13091	0	1	0
43	Zfp619	NM_001004139	-29978	0	0	0
44	Zfp619	NM_001004139	141496	0	0	0
45	Zfp619	NM_001004139	222822	0	0	0
46	Usp22	NM_001004143	15824	0	1	0
47	Git1	NM_001004144	-1533	0	0	0
48	Fbll1	NM_001004147	984	1	1	0
49	Slc13a5	NM_001004148	4663	0	0	1
50	Slc13a5	NM_001004148	240	1	0	1
51	Zfp366	NM_001004149	53660	0	0	1
52	Gnptab	NM_001004164	291	1	0	1
53	Sgpp2	NM_001004173	54002	0	0	1
54	AA467197	NM_001004174	452	1	1	0
55	Maml3	NM_001004176	60279	0	0	1
56	Maml3	NM_001004176	42869	0	0	1
57	Fam222a	NM_001004180	28601	0	0	1
58	Fam222a	NM_001004180	-30479	0	0	0
59	Fam222a	NM_001004180	19817	0	0	1
60	Fam222a	NM_001004180	23020	0	0	1
61	Fam222a	NM_001004180	35575	0	0	1
62	Fam222a	NM_001004180	3246	0	0	1
63	Fam222a	NM_001004180	38727	0	0	1
64	Slc28a1	NM_001004184	-20851	0	1	0
65	Nuak1	NM_001004363	65152	0	1	0
66	Nuak1	NM_001004363	-559	1	0	0
67	Nuak1	NM_001004363	-32	1	0	0
68	Gpr158	NM_001004761	1064	0	1	0
69	Znhit3	NM_001005223	15679	0	0	1
70	Dbx1	NM_001005232	101073	0	0	1
71	Dbx1	NM_001005232	114513	0	0	1
72	Dbx1	NM_001005232	-1094	0	0	0
73	Dbx1	NM_001005232	-670	1	0	0
74	Sp9	NM_001005343	2080	0	1	0
75	Ado	NM_001005419	1146	0	1	0
76	Ppp1r26	NM_001005420	-1314	0	0	0
77	Mreg	NM_001005423	27896	0	0	1
78	Gm996	NM_001005424	799	1	1	0
79	Gm996	NM_001005424	1316	0	1	0
80	Gm996	NM_001005424	813	1	1	0
81	Gm996	NM_001005424	156	1	1	0
82	Barhl2	NM_001005477	2013	0	0	1
83	Barhl2	NM_001005477	-11452	0	0	0
84	Barhl2	NM_001005477	-116304	0	0	0
85	Barhl2	NM_001005477	93662	0	0	0
86	Syne2	NM_001005510	18694	0	0	1
87	Syne2	NM_001005510	15450	0	0	1
88	Syne2	NM_001005510	15421	0	0	1
89	Lmtk3	NM_001005511	10254	0	1	0
90	Lmtk3	NM_001005511	10409	0	1	0
91	Lmtk3	NM_001005511	10236	0	1	0
92	Lmtk3	NM_001005511	10791	0	1	0
93	Patj	NM_001005787	57002	0	0	1
94	Mtus1	NM_001005864	-28028	0	1	0
95	Epb41l1	NM_001006664	30027	0	0	1
96	Epb41l1	NM_001006664	30045	0	0	1
97	Phactr3	NM_001007154	12375	0	0	1
98	Noto	NM_001007472	-3391	0	0	0
99	Noto	NM_001007472	-11868	0	0	0
100	Zfp251	NM_001007568	564	1	1	0
101	Zfp251	NM_001007568	536	1	1	0
102	Maneal	NM_001007573	463	1	1	0
103	Tceanc	NM_001007577	1904	0	0	1
104	Tceanc	NM_001007577	-118	1	0	0
105	Tceanc	NM_001007577	-239	1	0	0
106	Rtn1	NM_001007596	12496	0	0	1
107	Cdh12	NM_001008420	652065	0	0	0
108	Cdh12	NM_001008420	749701	0	0	0
109	Cdh12	NM_001008420	652071	0	0	0
110	Scaf1	NM_001008422	8375	0	1	0
111	Scaf1	NM_001008422	-836	1	0	0
112	Ccdc177	NM_001008423	1690	0	1	0
113	Ccdc177	NM_001008423	2477	0	1	0
114	Ccdc177	NM_001008423	1665	0	1	0
115	Ccdc177	NM_001008423	2463	0	1	0
116	Ccdc177	NM_001008423	1569	0	1	0
117	Wdr34	NM_001008498	14068	0	1	0
118	Zfp760	NM_001008501	-71	1	0	0
119	Zfp760	NM_001008501	-55	1	0	0
120	Zfp760	NM_001008501	-96	1	0	0
121	Zfp760	NM_001008501	-84	1	0	0
122	Mxi1	NM_001008542	-14035	0	0	0
123	Mxi1	NM_001008542	-14012	0	0	0
124	Mxi1	NM_001008542	2683	0	0	1
125	Unc13d	NM_001009573	405	1	1	0
126	Armcx5	NM_001009575	10	1	1	0
127	Sept11	NM_001009818	54889	0	0	1
128	A3galt2	NM_001009819	13589	0	0	0
129	A3galt2	NM_001009819	13621	0	0	0
130	Dock11	NM_001009947	74	1	1	0
131	Dock11	NM_001009947	546	1	0	1
132	Dock11	NM_001009947	417	1	0	1
133	Dock11	NM_001009947	404	1	0	1
134	Nrsn2	NM_001009948	-76	1	0	0
135	Slc38a8	NM_001009950	-4213	0	0	0
136	Slc38a8	NM_001009950	22612	0	0	0
137	Mrps33	NM_001010930	-115613	0	0	0
138	Mrps33	NM_001010930	-62144	0	0	0
139	Mrps33	NM_001010930	-61619	0	0	0
140	Hrh2	NM_001010973	72910	0	0	0
141	Xkr7	NM_001011732	-153	1	0	0
142	Xkr7	NM_001011732	132	1	1	0
143	Olfr412	NM_001011851	74496	0	0	1
144	Rnase12	NM_001011875	2726	0	0	0
145	Sctr	NM_001012322	568	1	0	1
146	Hs3st6	NM_001012402	497	1	1	0
147	Hs3st6	NM_001012402	-412	1	0	0
148	Ankrd6	NM_001012451	160	1	0	1
149	Fut10	NM_001012517	32002	0	0	1
150	Rims1	NM_001012623	77575	0	0	1
151	Rims1	NM_001012623	77575	0	0	1
152	Smim19	NM_001012667	-31945	0	0	1
153	Smim19	NM_001012667	-32005	0	0	1
154	Wfdc16	NM_001012723	3093	0	0	1
155	Aym1	NM_001012726	23	1	1	0
156	Aym1	NM_001012726	53762	0	0	0
157	Adcy5	NM_001012765	29496	0	0	1
158	Adcy5	NM_001012765	193	1	1	0
159	Adcy5	NM_001012765	-867	1	0	0
160	Npcd	NM_001013360	5352	0	0	1
161	Npcd	NM_001013360	5360	0	1	1
162	Npcd	NM_001013360	5144	0	0	1
163	Npcd	NM_001013360	5340	0	0	1
164	E2f8	NM_001013368	6191	0	0	1
165	Pfdn4	NM_001013369	-1366	0	0	1
166	Pfdn4	NM_001013369	-26697	0	0	0
167	Pfdn4	NM_001013369	-8262	0	0	1
168	Sesn1	NM_001013370	19684	0	0	1
169	Tmprss13	NM_001013373	-3700	0	0	0
170	Lman2l	NM_001013374	36216	0	0	1
171	Uspl1	NM_001013378	797	1	0	1
172	Zfp930	NM_001013379	-25180	0	0	0
173	Dync1li2	NM_001013380	13204	0	0	1
174	Dync1li2	NM_001013380	-13554	0	0	1
175	Lrrc52	NM_001013382	360	1	1	0
176	Podnl1	NM_001013384	8718	0	1	0
177	Grm4	NM_001013385	847	1	0	1
178	Grm4	NM_001013385	38923	0	0	1
179	Grm4	NM_001013385	83362	0	0	0
180	Rasl10b	NM_001013386	2502	0	1	0
181	Cpsf6	NM_001013391	-26112	0	0	0
182	Neurl4	NM_001013414	507	1	0	1
183	Inip	NM_001013577	30932	0	1	0
184	Tmem151b	NM_001013749	4182	0	1	0
185	Tmem151b	NM_001013749	4580	0	1	0
186	Tmem151b	NM_001013749	4185	0	1	0
187	Tmem151b	NM_001013749	4200	0	1	0
188	Tmem151b	NM_001013749	78	1	1	0
189	Gm597	NM_001013750	-942635	0	0	0
190	Pcdh17	NM_001013753	3754	0	1	0
191	Pcdh17	NM_001013753	3748	0	1	0
192	Gmnc	NM_001013761	236	1	0	1
193	Gmnc	NM_001013761	35799	0	0	0
194	Lipo3	NM_001013770	52003	0	0	0
195	Lipo3	NM_001013770	545	1	0	1
196	Gm973	NM_001013771	24447	0	0	1
197	Gm973	NM_001013771	24429	0	0	1
198	Tvp23a	NM_001013778	-2346	0	0	0
199	Slc25a34	NM_001013780	-8339	0	1	0
200	Slc25a34	NM_001013780	-1480	0	0	0
201	Ccdc92b	NM_001013784	-8775	0	0	0
202	Otulin	NM_001013792	63325	0	0	1
203	Maml2	NM_001013813	-5569	0	0	0
204	Dyrk2	NM_001014390	-89039	0	0	0
205	Dyrk2	NM_001014390	8312	0	1	0
206	4930404N11Rik	NM_001014836	-4811	0	0	1
207	4930404N11Rik	NM_001014836	1926	0	1	0
208	Rap1gap2	NM_001015046	-204	1	0	0
209	Rap1gap2	NM_001015046	17249	0	0	1
210	E130308A19Rik	NM_001015681	9510	0	0	1
211	Tyw1	NM_001015876	52004	0	0	1
212	Tbata	NM_001017407	9397	0	0	1
213	Kdm6b	NM_001017426	-60646	0	1	0
214	Btbd11	NM_001017525	10323	0	0	1
215	Btbd11	NM_001017525	-101777	0	0	1
216	Foxred2	NM_001017983	-4944	0	1	0
217	Otol1	NM_001018031	325578	0	0	0
218	Cxx1b	NM_001018063	-22	1	0	0
219	Trim15	NM_001024134	9181	0	1	0
220	Anks6	NM_001024136	17501	0	1	0
221	Anks6	NM_001024136	17499	0	1	0
222	Anks6	NM_001024136	-281	1	0	0
223	Anks6	NM_001024136	-286	1	0	0
224	Anks6	NM_001024136	18439	0	0	1
225	Pla2g4d	NM_001024137	-5596	0	0	0
226	Gpr139	NM_001024138	-17	1	0	0
227	Gm5868	NM_001024147	332	1	0	1
228	Diras2	NM_001024474	22747	0	1	0
229	Cdhr3	NM_001024478	-26200	0	0	1
230	Cdhr3	NM_001024478	-26180	0	0	1
231	Shc2	NM_001024539	233	1	1	0
232	Cep170b	NM_001024602	457	1	0	1
233	Pdp2	NM_001024606	-326	1	0	1
234	Pdp2	NM_001024606	-315	1	0	1
235	Xirp2	NM_001024618	119630	0	0	0
236	Cpa2	NM_001024698	10392	0	1	0
237	Gm5458	NM_001024706	184115	0	0	0
238	Gm5458	NM_001024706	186595	0	0	0
239	Gm5458	NM_001024706	184114	0	0	0
240	Gm5458	NM_001024706	352519	0	0	0
241	Gm5458	NM_001024706	352490	0	0	0
242	Ifi214	NM_001024721	-21054	0	0	0
243	Cebpz	NM_001024806	5238	0	0	1
244	Gm128	NM_001024841	190	1	1	0
245	Hoxc11	NM_001024842	2047	0	1	0
246	Ttbk2	NM_001024857	745	1	0	1
247	Sept10	NM_001024910	172326	0	1	0
248	Rfx4	NM_001024918	1169	0	0	1
249	Rfx4	NM_001024918	1054	0	0	1
250	Rfx4	NM_001024918	4094	0	0	1
251	Rfx4	NM_001024918	38474	0	0	1
252	Pitpnm3	NM_001024927	-111	1	0	0
253	Pik3r1	NM_001024955	-13825	0	0	1
254	Ntrk2	NM_001025074	272886	0	0	1
255	Ntrk2	NM_001025074	2343	0	0	1
256	Arl14ep	NM_001025102	108	1	1	0
257	Cxadr	NM_001025192	8125	0	0	1
258	Cxadr	NM_001025192	9231	0	0	1
259	Mbp	NM_001025245	37848	0	0	1
260	Trp53i11	NM_001025246	-7190	0	0	0
261	Trp53i11	NM_001025246	-7161	0	0	0
262	Mbp	NM_001025254	21236	0	0	1
263	Tfap2b	NM_001025305	22131	0	1	0
264	Tfap2b	NM_001025305	80381	0	0	0
265	Pja2	NM_001025309	58793	0	0	0
266	Pja2	NM_001025309	195652	0	0	1
267	Sema3g	NM_001025379	12963	0	0	0
268	Gpr17	NM_001025381	-39930	0	1	0
269	Gpr17	NM_001025381	-27623	0	0	1
270	Eno1b	NM_001025388	24082	0	0	1
271	Eno1b	NM_001025388	24082	0	0	1
272	Src	NM_001025395	284	1	0	1
273	Dmbx1	NM_001025567	-32783	0	0	0
274	Bpifb9b	NM_001025574	29081	0	0	1
275	Maf	NM_001025577	348785	0	0	0
276	Maf	NM_001025577	595579	0	0	1
277	Maf	NM_001025577	630	1	1	0
278	Kcnj6	NM_001025590	73186	0	0	1
279	Zbtb43	NM_001025594	-47593	0	0	0
280	Zbtb43	NM_001025594	-47566	0	0	0
281	Cadm1	NM_001025600	186	1	0	1
282	Cadm1	NM_001025600	69662	0	0	1
283	Cadm1	NM_001025600	1091	0	0	1
284	Cadm1	NM_001025600	1331	0	0	1
285	Gm527	NM_001025605	-101782	0	0	0
286	Tmem171	NM_001025606	-467	1	0	0
287	Pknox2	NM_001029838	47303	0	0	1
288	Pknox2	NM_001029838	541	1	0	1
289	Pknox2	NM_001029838	2057	0	0	1
290	Pdzd4	NM_001029868	249	1	1	0
291	Itgad	NM_001029872	-19576	0	0	0
292	Nova2	NM_001029877	-337	1	0	0
293	Zswim5	NM_001029912	-611	1	0	0
294	Usp32	NM_001029934	77892	0	0	1
295	Specc1	NM_001029936	684	1	0	1
296	Sec14l3	NM_001029937	-6409	0	0	0
297	Tceal3	NM_001029978	503	1	0	1
298	Enpp7	NM_001030291	-15115	0	0	0
299	Enpp7	NM_001030291	-26107	0	0	0
300	Kcnk15	NM_001030292	4611	0	1	0
301	Olfm4	NM_001030294	701445	0	0	0
302	Abca17	NM_001031621	12957	0	0	1
303	Lin28b	NM_001031772	-16053	0	0	0
304	Lin28b	NM_001031772	26	1	1	0
305	Pear1	NM_001032414	-145	1	0	0
306	Ccdc189	NM_001033040	727	1	0	1
307	Bbs1	NM_001033128	-8293	0	1	0
308	Bbs1	NM_001033128	-8243	0	1	0
309	Bbs1	NM_001033128	-8280	0	1	0
310	Bbs1	NM_001033128	-8994	0	0	1
311	Dnajb14	NM_001033155	6761	0	0	1
312	Fbxo33	NM_001033156	-492304	0	0	0
313	Osbp	NM_001033174	-7132	0	0	0
314	Slc6a21	NM_001033176	3941	0	0	1
315	Slc6a21	NM_001033176	-2890	0	0	0
316	Skap1	NM_001033186	67301	0	0	1
317	Fam8a1	NM_001033192	-74546	0	0	1
318	Fam8a1	NM_001033192	-74547	0	0	1
319	AU015228	NM_001033197	194	1	1	0
320	Zfp575	NM_001033205	-6958	0	0	1
321	Pwwp2b	NM_001033206	361	1	0	1
322	Myzap	NM_001033208	48772	0	0	1
323	Rprml	NM_001033212	17458	0	0	0
324	Ttc7b	NM_001033213	3294	0	0	1
325	Ttc7b	NM_001033213	270	1	0	1
326	Ttc7b	NM_001033213	403	1	0	1
327	Prickle1	NM_001033217	240	1	0	1
328	Prickle1	NM_001033217	-47526	0	0	0
329	Pnrc1	NM_001033225	-8756	0	0	0
330	Cblb	NM_001033238	147392	0	0	1
331	Gm266	NM_001033248	584	1	1	0
332	Agap2	NM_001033263	2478	0	0	1
333	Agap2	NM_001033263	883	1	1	0
334	Agap2	NM_001033263	19921	0	0	1
335	Gm525	NM_001033266	2411	0	0	1
336	Qrich2	NM_001033267	-2321	0	0	0
337	Qrich2	NM_001033267	7427	0	1	0
338	Qrich2	NM_001033267	391	1	0	1
339	Slc4a7	NM_001033270	-16586	0	0	0
340	Brd1	NM_001033274	51315	0	0	0
341	Gxylt1	NM_001033275	193378	0	0	0
342	Gxylt1	NM_001033275	18110	0	0	1
343	Kmt2d	NM_001033276	18833	0	1	0
344	Prdm6	NM_001033281	74234	0	0	1
345	BC026585	NM_001033284	36	1	1	0
346	BC026585	NM_001033284	38	1	1	0
347	Cdc42bpa	NM_001033285	-1609	0	0	0
348	Sbspon	NM_001033288	19623	0	0	1
349	Slc9a2	NM_001033289	-668	1	0	0
350	Slc9a2	NM_001033289	265	1	1	0
351	Kiz	NM_001033298	-92091	0	0	0
352	Shb	NM_001033306	-438	1	0	0
353	Vsig10	NM_001033311	-11318	0	0	0
354	Fbxl18	NM_001033312	14278	0	0	1
355	Fbxl18	NM_001033312	8385	0	1	0
356	Ccdc61	NM_001033314	6638	0	0	1
357	Hipk4	NM_001033315	13524	0	0	1
358	Hipk4	NM_001033315	-6428	0	1	0
359	Carmil2	NM_001033320	3293	0	1	0
360	Carmil2	NM_001033320	3323	0	1	0
361	Carmil2	NM_001033320	2969	0	0	1
