	name	feature.name	dist.to.feature	prom	exon	intron
1	Fbxo41	NM_001001160	22090	0	1	0
2	Fbxo41	NM_001001160	24732	0	1	0
3	Taf9b	NM_001001176	301	1	0	1
4	Taf9b	NM_001001176	102	1	1	1
5	Taf9b	NM_001001176	300	1	0	1
6	Taf9b	NM_001001176	85	1	1	1
7	Taf9b	NM_001001176	294	1	0	1
8	Ccdc148	NM_001001178	55119	0	0	1
9	Baz2b	NM_001001182	-4743	0	0	0
10	BC048507	NM_001001185	-366	1	0	0
11	Thnsl1	NM_001001297	31788	0	0	0
12	Thnsl1	NM_001001297	31542	0	0	0
13	St5	NM_001001326	-20348	0	0	0
14	Hexdc	NM_001001333	-11065	0	0	1
15	Cyp2c44	NM_001001446	16523	0	0	1
16	Mfsd4b5	NM_001001489	-4093	0	0	0
17	Oxgr1	NM_001001490	-199	1	0	0
18	Oxgr1	NM_001001490	-107210	0	0	0
19	Chpf	NM_001001566	9668	0	1	0
20	Dab2ip	NM_001001602	17835	0	1	0
21	Itprip	NM_001001738	22713	0	1	0
22	Itprip	NM_001001738	24445	0	1	0
23	Itprip	NM_001001738	22626	0	1	0
24	Atp11c	NM_001001798	-198	1	0	0
25	Atp11c	NM_001001798	-278	1	0	0
26	Atp11c	NM_001001798	-287	1	0	0
27	Atp11c	NM_001001798	-288	1	0	0
28	Zfp36l2	NM_001001806	5618	0	0	0
29	Zfp36l2	NM_001001806	-91222	0	0	1
30	Olfr279	NM_001001807	-4021	0	0	0
31	2510009E07Rik	NM_001001881	41280	0	1	0
32	2510009E07Rik	NM_001001881	98875	0	0	1
33	2510009E07Rik	NM_001001881	41272	0	1	0
34	A430105I19Rik	NM_001001982	131	1	1	0
35	Nol4l	NM_001001986	-37681	0	0	1
36	Gp1bb	NM_001001999	-2442	0	1	0
37	Rpl17	NM_001002239	-7812	0	0	0
38	Tdrd1	NM_001002241	20060	0	0	1
39	Tmem158	NM_001002267	1159	0	1	0
40	Rab44	NM_001002786	41012	0	0	1
41	Ccin	NM_001002787	637	1	1	0
42	AI413582	NM_001002895	-9728	0	0	0
43	Bfsp2	NM_001002896	8712	0	0	1
44	Bfsp2	NM_001002896	-18762	0	1	0
45	Higd1c	NM_001002900	8140	0	0	1
46	Erbb2	NM_001003817	6440	0	0	1
47	Ankib1	NM_001003909	791	1	0	1
48	Rab3ip	NM_001003950	11039	0	1	0
49	Ces5a	NM_001003951	4418	0	0	1
50	Ces5a	NM_001003951	4424	0	0	1
51	Zfp366	NM_001004149	-2332	0	0	0
52	Psg22	NM_001004152	16193	0	0	0
53	9930012K11Rik	NM_001004155	-8350	0	0	1
54	Gnptab	NM_001004164	11226	0	0	1
55	Fam222a	NM_001004180	10597	0	0	1
56	Fam222a	NM_001004180	-45383	0	0	0
57	Fam222a	NM_001004180	-45347	0	0	0
58	Slc28a1	NM_001004184	-17413	0	0	1
59	Whamm	NM_001004185	56343	0	0	1
60	Whamm	NM_001004185	56327	0	0	1
61	Cntnap2	NM_001004357	196676	0	0	1
62	Cntnap2	NM_001004357	-634286	0	0	0
63	Nuak1	NM_001004363	-17197	0	0	0
64	Nuak1	NM_001004363	48045	0	0	1
65	Scube3	NM_001004366	-534	1	0	0
66	Cxxc4	NM_001004367	-46476	0	0	0
67	Dbx1	NM_001005232	186336	0	0	1
68	Sp9	NM_001005343	9071	0	0	0
69	Mreg	NM_001005423	90535	0	0	0
70	Zfp663	NM_001005425	-459	1	0	0
71	Barhl2	NM_001005477	-60955	0	0	0
72	Arhgap30	NM_001005508	626	1	0	1
73	Arhgap30	NM_001005508	610	1	0	1
74	Arhgap30	NM_001005508	642	1	0	1
75	Syne2	NM_001005510	22691	0	0	1
76	Syne2	NM_001005510	22866	0	0	1
77	Lmtk3	NM_001005511	8862	0	1	0
78	Phactr1	NM_001005740	18026	0	0	1
79	Phactr1	NM_001005740	170010	0	0	1
80	Phactr1	NM_001005748	-205943	0	0	1
81	Mcoln2	NM_001005846	31715	0	0	1
82	Clec4a4	NM_001005860	10060	0	0	1
83	Phactr3	NM_001007154	74391	0	0	1
84	Adam22	NM_001007221	-9289	0	0	0
85	Spag8	NM_001007463	490	1	1	0
86	Zfp251	NM_001007568	6644	0	0	1
87	Tceanc	NM_001007577	93	1	1	0
88	Tceanc	NM_001007577	118	1	1	0
89	Tceanc	NM_001007577	-106	1	0	0
90	Tceanc	NM_001007577	266	1	0	1
91	Fndc3c1	NM_001007580	161	1	1	0
92	Akirin2	NM_001007589	-111791	0	0	0
93	Akirin2	NM_001007589	-111589	0	0	0
94	Akirin2	NM_001007589	-213067	0	0	0
95	Akirin2	NM_001007589	-111802	0	0	0
96	Akirin2	NM_001007589	-212873	0	0	0
97	Rtn1	NM_001007596	24166	0	1	0
98	Rtn1	NM_001007596	24169	0	1	0
99	Asap3	NM_001008232	10827	0	0	1
100	Asap3	NM_001008232	10844	0	0	1
101	Asap3	NM_001008232	10824	0	0	1
102	Wdr34	NM_001008498	37648	0	1	0
103	Adora1	NM_001008533	1413	0	1	0
104	Tmem232	NM_001008973	-31095	0	0	0
105	Tmem232	NM_001008973	392592	0	0	0
106	Tmem232	NM_001008973	126985	0	0	1
107	Tmem232	NM_001008973	365994	0	0	0
108	Mup21	NM_001009550	27178	0	0	0
109	Unc13d	NM_001009573	336	1	1	0
110	Armcx5	NM_001009575	8	1	1	0
111	Armcx5	NM_001009575	142	1	1	0
112	Armcx5	NM_001009575	188	1	1	0
113	Dock11	NM_001009947	442	1	0	1
114	Slc38a8	NM_001009950	-4407	0	0	0
115	Ficd	NM_001010825	8928	0	1	0
116	Mrps33	NM_001010930	-33427	0	0	0
117	Mrps33	NM_001010930	-144	1	0	0
118	Olfr688	NM_001011533	-15416	0	0	0
119	Olfr987	NM_001011785	64895	0	0	0
120	Olfr1318	NM_001011802	12914	0	0	0
121	Olfr1318	NM_001011802	12936	0	0	0
122	Olfr761	NM_001011829	-43008	0	0	0
123	Olfr412	NM_001011851	31368	0	0	1
124	Olfr406	NM_001011863	2684	0	0	0
125	Xkr4	NM_001011874	-63456	0	0	0
126	Xkr4	NM_001011874	139734	0	0	1
127	Xkr4	NM_001011874	-147908	0	0	0
128	Sctr	NM_001012322	2758	0	0	1
129	Ecm2	NM_001012324	-16080	0	0	1
130	Zbtb18	NM_001012330	-83809	0	0	0
131	Wfdc6b	NM_001012725	5309	0	0	0
132	Aym1	NM_001012726	-272	1	0	0
133	Aym1	NM_001012726	40383	0	0	0
134	Aym1	NM_001012726	61357	0	0	0
135	Npcd	NM_001013360	6091	0	1	1
136	Prkaa1	NM_001013367	16715	0	0	1
137	Prkaa1	NM_001013367	-354	1	0	0
138	Dtx3l	NM_001013371	-8910	0	1	0
139	Utp18	NM_001013375	68196	0	0	0
140	Utp18	NM_001013375	84686	0	0	0
141	Utp18	NM_001013375	68539	0	0	0
142	Grm4	NM_001013385	48733	0	1	0
143	Grm4	NM_001013385	87668	0	0	0
144	Mrs2	NM_001013389	-8436	0	0	0
145	Cpsf6	NM_001013391	40857	0	0	0
146	Cpsf6	NM_001013391	-101293	0	0	0
147	Ric8b	NM_001013441	20708	0	0	1
148	Tmem151b	NM_001013749	10187	0	0	1
149	Tmem151b	NM_001013749	3979	0	1	0
150	Gm597	NM_001013750	321629	0	0	0
151	Gm597	NM_001013750	800618	0	0	0
152	Gm597	NM_001013750	321586	0	0	0
153	Gmnc	NM_001013761	35426	0	0	0
154	Lipo3	NM_001013770	52034	0	0	0
155	Zfp488	NM_001013777	197	1	0	1
156	Slc25a34	NM_001013780	-8239	0	1	0
157	Fbxw22	NM_001014395	-4581	0	0	0
158	Rap1gap2	NM_001015046	-173	1	0	0
159	Tyw1	NM_001015876	28900	0	0	1
160	Tyw1	NM_001015876	15025	0	0	1
161	Tyw1	NM_001015876	28876	0	0	1
162	Tbata	NM_001017407	9322	0	0	1
163	Tbata	NM_001017407	22600	0	1	0
164	Btbd11	NM_001017525	111140	0	0	0
165	Grxcr1	NM_001018019	44766	0	0	1
166	Otol1	NM_001018031	11252	0	1	0
167	Sp3	NM_001018042	-23171	0	0	0
168	Ldoc1	NM_001018087	-23066	0	0	0
169	Ldoc1	NM_001018087	105743	0	0	0
170	Trim15	NM_001024134	287	1	1	0
171	Adamts15	NM_001024139	212118	0	0	0
172	Adamts15	NM_001024139	50100	0	0	0
173	Bcat1	NM_001024468	1262	0	0	1
174	Bcat1	NM_001024468	26384	0	0	1
175	Bcat1	NM_001024468	1289	0	0	1
