#mm10.knownGene.name	mm10.knownGene.proteinID	mm10.kgXref.geneSymbol	mm10.kgXref.refseq	mm10.kgXref.protAcc
uc007aey.1	Q61473	Sox17	NM_001289467	NP_001276396
uc007bgy.1	Q9EQD0	Fzd5	NM_022721	NP_073558
uc007bgz.1	Q9EQD0	Fzd5	NM_001042659	NP_073558
uc007bjr.2	B0LAC5	Atic		
uc007bjs.2	Q9CWJ9	Atic	NM_026195	NP_080471
uc007bjt.2	Q9CWJ9	Atic	NM_026195	NP_080471
uc007bne.1	P22727	Wnt6	NM_009526	NP_033552
uc007bnf.2	P70701	Wnt10a	NM_009518	NP_033544
uc007bsi.2	Q99PL8	Slc19a3	NM_030556	NP_085033
uc007bsj.2	Q99PL8	Slc19a3	NM_030556	NP_085033
uc007cee.2	O35425	Bok	NM_016778	NP_058058
uc011wlq.1	Q61090	Fzd7	NM_008057	NP_032083
uc008ixf.2	Q8BU72	Sardh	NM_138665	NP_619606
uc008ixg.2	Q99LB7	Sardh	NM_138665	NP_619606
uc008jgm.2	P48760	Fpgs	NM_010236	NP_034366
uc008jix.2	Q9QUH1	Fbxw2	NM_001164768	NP_001158242
uc008jiy.2	Q9QUH1	Fbxw2	NM_013890	NP_001158242
uc008jiz.2	A2AUF9	Fbxw2	NM_001164770	NP_001158242
uc008jja.2	NP_001158241	Fbxw2	NM_001164769	NP_001158241
uc008jjb.2	Q9CPQ6	Fbxw2	NM_001164772	NP_001158244
uc008jjc.2	Q9CPQ6	Fbxw2	NM_001164772	NP_001158244
uc008khl.1	P97401	Frzb	NM_011356	NP_035486
uc008ktx.2	A0A0R4J0T5	Celf1	NM_198683	NP_941955
uc008kty.2	P28659	Celf1	NM_001244891	NP_941955
uc008ktz.2	P28659	Celf1	NM_001244903	NP_941955
uc008kua.2	P28659-4	Celf1	NM_017368	NP_941955
uc008kub.2	P28659	Celf1	NM_198683	NP_941955
uc008llt.2	Q60687	Fshb	NM_008045	NP_032071
uc008ney.1		Csnk2a1		
uc008nez.2	Q9D0E8	Csnk2a1	NM_007788	NP_031814
uc008nfa.2	Q60737	Csnk2a1	NM_007788	NP_031814
uc008nka.2	P50247	Ahcy	NM_016661	NP_057870
uc012buh.1	A2AUF9	Fbxw2	NM_001164772	NP_001158244
uc057bmx.1		Fbxw2		
uc008ppl.2	P97299	Sfrp2	NM_009144	NP_033170
uc008qut.1	O70283	Wnt2b	NM_009520	NP_033546
uc008qxi.1	Q80SW1	Ahcyl1	NM_145542	NP_663517
uc008qxj.1	Q80SW1	Ahcyl1	NM_145542	NP_663517
uc008rvj.1	Q8VCN5	Cth	NM_145953	NP_666065
uc008sck.1	Q9Z0L8	Ggh	NM_010281	NP_034411
uc008tsq.2	P05627	Jun	NM_010591	NP_034721
uc008viv.2	P22724	Wnt4	NM_009523	NP_033549
uc008vtu.2	Q9WU20	Mthfr	NM_010840	NP_034970
uc008vtv.1	Q8CJA7	Mthfr		
uc008vtw.1	Q8CJA7	Mthfr		
uc008vtx.2	A2A7F7	Mthfr	NM_001161798	NP_001155270
uc008vty.2		Mthfr	NM_001161798	
uc008vwm.2	Q9JJN6	Ctnnbip1	NM_023465	NP_075954
uc008vwn.2	Q9JJN6	Ctnnbip1	NM_001141930	NP_075954
uc008wfe.1	P51141	Dvl1		
uc008wig.2	O70421	Fzd1	NM_021457	NP_067432
uc008wux.2	P07607	Tyms	NM_021288	NP_067263
uc008wuy.2		Tyms		
uc008xaj.2	O88712	Ctbp1	NM_013502	NP_001297464
uc008xak.2	O88712-2	Ctbp1	NM_001198861	NP_001185790
uc008xal.2	NP_001297464	Ctbp1	NM_001310535	NP_001297464
uc008xam.2	A0A0J9YU62	Ctbp1	NM_001198860	NP_001185789
uc008xan.2	NP_001185788	Ctbp1	NM_001198859	NP_001185788
uc008xao.2	A0A0J9YUM4	Ctbp1		
uc008xxo.1	Q8VHK8-2	Tmprss11d	NM_145561	NP_663536
uc008xxp.1	Q8VHK8	Tmprss11d	NM_145561	NP_663536
uc008zya.2	Q9R216	Fzd9	NM_010246	NP_034376
uc012dtx.1		Tyms	NR_033402	
uc012dty.1	A0A0G2JF03	Tyms		
uc009bag.2	P21552	Wnt2	NM_023653	NP_076142
uc009baw.2	H3BJ29	Wnt16	NM_053116	NP_444346
uc009bax.2	Q9QYS1	Wnt16	NM_053116	NP_444346
uc009beg.2	Q3TMT7	Ahcyl2		
uc009beh.2	F8WGT1	Ahcyl2	NM_001171000	NP_001164471
uc009bei.2	Q68FL4	Ahcyl2	NM_021414	NP_067389
uc009bej.1		Ahcyl2		
uc009bek.2	Q68FL4-2	Ahcyl2	NM_001171001	NP_001164472
uc009bel.2	Q68FL4	Ahcyl2	NM_001171001	NP_001164472
uc009cip.1	Q3THS6	Mat2a	NM_145569	NP_663544
uc009ciq.1	Q3THS6	Mat2a	NM_145569	NP_663544
uc009cne.2	P18155	Mthfd2	NM_008638	NP_032664
uc009cxl.1	Q8R0Y6	Aldh1l1	NM_027406	NP_081682
uc009cxm.1	Q8R0Y6	Aldh1l1	NM_027406	NP_081682
uc009cxz.1	P24383	Wnt7a	NM_009527	NP_033553
uc009dmi.2	P22726	Wnt5b	NM_009525	NP_033551
uc009dvr.1	P30280	Ccnd2	NM_009829	NP_033959
uc009dvs.1	Q9D8L9	Ccnd2	NM_009829	NP_033959
uc009ekk.2	Q3US54	Lrp6	NM_008514	NP_032540
