	name	feature.name	dist.to.feature	prom	exon	intron
1	Scap	NM_001001144	1988	0	0	1
2	Fbxo41	NM_001001160	18183	0	1	0
3	Fbxo41	NM_001001160	22090	0	1	0
4	Fbxo41	NM_001001160	24732	0	1	0
5	Fbxo41	NM_001001160	18719	0	1	0
6	Fbxo41	NM_001001160	18446	0	1	0
7	Fbxo41	NM_001001160	18579	0	1	0
8	Fbxo41	NM_001001160	24738	0	1	0
9	Taf9b	NM_001001176	222	1	1	0
10	Taf9b	NM_001001176	190	1	1	0
11	Taf9b	NM_001001176	336	1	0	1
12	Taf9b	NM_001001176	300	1	0	1
13	Taf9b	NM_001001176	52	1	1	1
14	Taf9b	NM_001001176	102	1	1	1
15	Taf9b	NM_001001176	172	1	1	0
16	Taf9b	NM_001001176	301	1	0	1
17	Taf9b	NM_001001176	85	1	1	1
18	Taf9b	NM_001001176	337	1	0	1
19	Ccdc148	NM_001001178	55119	0	0	1
20	BC048546	NM_001001179	2213	0	0	1
21	BC048546	NM_001001179	-6444	0	0	0
22	BC048546	NM_001001179	1414	0	0	1
23	BC048546	NM_001001179	-5900	0	0	0
24	Baz2b	NM_001001182	-4802	0	0	0
25	Baz2b	NM_001001182	-4763	0	0	0
26	Baz2b	NM_001001182	-4764	0	0	0
27	Baz2b	NM_001001182	-4743	0	0	0
28	Baz2b	NM_001001182	114581	0	0	1
29	Tmem204	NM_001001183	-3568	0	0	1
30	Tmem204	NM_001001183	22947	0	1	1
31	Tmem204	NM_001001183	22848	0	1	1
32	Tmem204	NM_001001183	22824	0	1	1
33	BC048507	NM_001001185	-366	1	0	0
34	BC048507	NM_001001185	-401	1	0	0
35	BC048507	NM_001001185	-352	1	0	0
36	BC048507	NM_001001185	35016	0	0	0
37	Dis3l	NM_001001295	-16766	0	0	0
38	Dis3l	NM_001001295	-561	1	0	0
39	Dis3l	NM_001001295	-5577	0	0	0
40	Thnsl1	NM_001001297	76522	0	0	0
41	Thnsl1	NM_001001297	76529	0	0	0
42	Thnsl1	NM_001001297	31788	0	0	0
43	Thnsl1	NM_001001297	31542	0	0	0
44	Slc35d2	NM_001001321	128	1	1	0
45	St5	NM_001001326	-20318	0	0	0
46	St5	NM_001001326	-11940	0	0	0
47	St5	NM_001001326	-20348	0	0	0
48	Hexdc	NM_001001333	-11065	0	0	1
49	Hexdc	NM_001001333	-1338	0	1	0
50	Spag6	NM_001001334	112474	0	0	0
51	Spag6	NM_001001334	-9931	0	0	0
52	Defb29	NM_001001444	-14449	0	0	0
53	AF067063	NM_001001449	11394	0	0	0
54	AF067063	NM_001001449	7857	0	0	0
55	Ssxb2	NM_001001450	-14210	0	0	0
56	Oxgr1	NM_001001490	-60633	0	0	0
57	Oxgr1	NM_001001490	108425	0	0	0
58	Oxgr1	NM_001001490	-107210	0	0	0
59	Oxgr1	NM_001001490	-79609	0	0	0
60	Oxgr1	NM_001001490	-112525	0	0	0
61	Oxgr1	NM_001001490	-47553	0	0	0
62	Oxgr1	NM_001001490	-40813	0	0	0
63	Oxgr1	NM_001001490	-47528	0	0	0
64	Oxgr1	NM_001001490	-199	1	0	0
65	Lca5l	NM_001001492	6969	0	0	1
66	Wdr83os	NM_001001493	618	1	0	1
67	Gja6	NM_001001496	34508	0	0	1
68	Gja6	NM_001001496	17548	0	0	1
69	Usp17ld	NM_001001559	-25155	0	0	0
70	Chpf	NM_001001566	2025	0	1	0
71	Chpf	NM_001001566	4252	0	1	0
72	Chpf	NM_001001566	893	1	0	1
73	Chpf	NM_001001566	2038	0	1	0
74	Chpf	NM_001001566	4242	0	1	0
75	Chpf	NM_001001566	2022	0	1	0
76	Dab2ip	NM_001001602	-30410	0	1	0
77	Dab2ip	NM_001001602	54942	0	0	0
78	Dab2ip	NM_001001602	-28761	0	0	1
79	Dab2ip	NM_001001602	26881	0	1	0
80	Dab2ip	NM_001001602	709	1	0	1
81	Dab2ip	NM_001001602	40201	0	0	0
82	Dab2ip	NM_001001602	27897	0	1	0
83	Dab2ip	NM_001001602	3076	0	0	1
84	Dab2ip	NM_001001602	28548	0	1	0
85	Dab2ip	NM_001001602	17835	0	1	0
86	Prss48	NM_001001650	-52	1	0	0
87	Prss48	NM_001001650	28487	0	0	0
88	Prss48	NM_001001650	8573	0	1	0
89	Prss48	NM_001001650	-11769	0	0	0
90	Prss48	NM_001001650	8561	0	1	0
91	Itprip	NM_001001738	19638	0	0	1
92	Itprip	NM_001001738	22626	0	1	0
93	Itprip	NM_001001738	14467	0	0	1
94	Itprip	NM_001001738	7967	0	0	1
95	Itprip	NM_001001738	22645	0	1	0
96	Itprip	NM_001001738	22713	0	1	0
97	Itprip	NM_001001738	22674	0	1	0
98	Itprip	NM_001001738	22718	0	1	0
99	Itprip	NM_001001738	22367	0	1	0
100	Itprip	NM_001001738	22712	0	1	0
101	Itprip	NM_001001738	21460	0	1	0
102	Itprip	NM_001001738	18277	0	0	1
103	Itprip	NM_001001738	22333	0	1	0
104	Itprip	NM_001001738	14430	0	0	1
105	Itprip	NM_001001738	14335	0	0	1
106	Itprip	NM_001001738	22503	0	1	0
107	Itprip	NM_001001738	22464	0	1	0
108	Zfp239	NM_001001792	8398	0	1	0
109	Prrxl1	NM_001001796	8491	0	1	0
110	Prrxl1	NM_001001796	-2178	0	0	0
111	Prrxl1	NM_001001796	-14082	0	0	0
112	Prrxl1	NM_001001796	-1787	0	0	0
113	Prrxl1	NM_001001796	-14126	0	0	0
114	Atp11c	NM_001001798	-288	1	0	0
115	Atp11c	NM_001001798	-137	1	0	0
116	Atp11c	NM_001001798	-117	1	0	0
117	Zfp36l2	NM_001001806	5618	0	0	0
118	Zfp36l2	NM_001001806	5634	0	0	0
119	Zfp36l2	NM_001001806	6204	0	0	0
120	Zfp36l2	NM_001001806	2257	0	1	0
121	Zfp36l2	NM_001001806	-91249	0	0	1
122	Zfp36l2	NM_001001806	32776	0	0	0
123	Zfp36l2	NM_001001806	-120335	0	0	1
124	Zfp36l2	NM_001001806	-96351	0	0	1
125	Zfp36l2	NM_001001806	-91242	0	0	1
126	Zfp36l2	NM_001001806	-120329	0	0	1
127	Zfp36l2	NM_001001806	28892	0	0	0
128	Zfp36l2	NM_001001806	41847	0	0	0
129	Zfp36l2	NM_001001806	-91222	0	0	1
130	Zfp36l2	NM_001001806	6281	0	0	0
131	Olfr279	NM_001001807	-4017	0	0	0
132	Olfr279	NM_001001807	-4021	0	0	0
133	Olfr279	NM_001001807	-3947	0	0	0
134	Mpzl1	NM_001001880	-33684	0	0	1
135	2510009E07Rik	NM_001001881	98859	0	0	1
136	2510009E07Rik	NM_001001881	29584	0	0	1
137	2510009E07Rik	NM_001001881	29587	0	0	1
138	2510009E07Rik	NM_001001881	41280	0	1	0
139	2510009E07Rik	NM_001001881	41272	0	1	0
140	2510009E07Rik	NM_001001881	98875	0	0	1
141	Hecw2	NM_001001883	-4655	0	0	0
142	Nckap5l	NM_001001884	31891	0	1	0
143	Nckap5l	NM_001001884	32149	0	1	0
144	Nckap5l	NM_001001884	32134	0	1	0
145	Nckap5l	NM_001001884	32108	0	1	0
146	Nckap5l	NM_001001884	32150	0	1	0
147	Nckap5l	NM_001001884	31705	0	1	0
148	Tmem151a	NM_001001885	191	1	0	1
149	Eea1	NM_001001932	67384	0	0	1
150	Eea1	NM_001001932	-166164	0	0	0
151	Eea1	NM_001001932	-166148	0	0	0
152	Megf10	NM_001001979	71563	0	0	1
153	Megf10	NM_001001979	4478	0	0	1
154	Megf10	NM_001001979	4528	0	0	1
155	Limch1	NM_001001980	-29367	0	0	0
156	Limch1	NM_001001980	146	1	1	0
157	A430105I19Rik	NM_001001982	2070	0	1	0
158	A430105I19Rik	NM_001001982	131	1	1	0
159	A430105I19Rik	NM_001001982	32	1	1	0
160	Kdm2a	NM_001001984	-1461	0	0	0
161	Kdm2a	NM_001001984	-1439	0	0	0
162	Kdm2a	NM_001001984	-1413	0	0	0
163	Nat8l	NM_001001985	-192	1	0	0
164	Nol4l	NM_001001986	-37884	0	0	1
165	Nol4l	NM_001001986	-37681	0	0	1
166	Nol4l	NM_001001986	20058	0	0	1
167	Nol4l	NM_001001986	45103	0	1	0
168	Nol4l	NM_001001986	23872	0	1	0
169	Gp1bb	NM_001001999	-2788	0	1	0
170	Gp1bb	NM_001001999	-2787	0	1	0
171	Gp1bb	NM_001001999	-1686	0	0	1
172	Gp1bb	NM_001001999	-2442	0	1	0
173	Gp1bb	NM_001001999	-1646	0	0	1
174	Panx2	NM_001002005	7931	0	1	0
175	Panx2	NM_001002005	-26719	0	0	1
176	Panx2	NM_001002005	7934	0	1	0
177	Panx2	NM_001002005	86	1	1	0
178	Rpl17	NM_001002239	-6074	0	0	0
179	Rpl17	NM_001002239	-7812	0	0	0
180	Tdrd1	NM_001002241	19932	0	0	1
181	Tdrd1	NM_001002241	20060	0	0	1
182	Tmem158	NM_001002267	1159	0	1	0
183	Adgrg6	NM_001002268	-45025	0	0	0
184	Adgrg6	NM_001002268	-68084	0	0	0
185	Adgrg6	NM_001002268	-60308	0	0	0
186	Adgrg6	NM_001002268	75993	0	1	0
187	Smg6	NM_001002764	3653	0	1	0
188	Smg6	NM_001002764	3615	0	1	0
189	Smg6	NM_001002764	3625	0	1	0
190	Rab44	NM_001002786	29135	0	0	1
191	Rab44	NM_001002786	41012	0	0	1
192	Rab44	NM_001002786	-508	1	0	0
193	Rab44	NM_001002786	-492	1	0	0
194	Rab44	NM_001002786	-472	1	0	0
195	Ccin	NM_001002787	50	1	1	0
196	Ccin	NM_001002787	1049	0	1	0
197	Ccin	NM_001002787	637	1	1	0
198	Ccin	NM_001002787	1508	0	1	0
199	Ccin	NM_001002787	1212	0	1	0
200	Ccin	NM_001002787	1047	0	1	0
201	Defb22	NM_001002791	-5333	0	0	0
202	AI413582	NM_001002895	-24040	0	0	1
203	AI413582	NM_001002895	-21861	0	0	1
204	AI413582	NM_001002895	-14218	0	1	0
205	AI413582	NM_001002895	-14394	0	1	0
206	AI413582	NM_001002895	-9728	0	0	0
207	AI413582	NM_001002895	-9819	0	0	0
208	AI413582	NM_001002895	-14259	0	1	0
209	Bfsp2	NM_001002896	371	1	1	0
210	Bfsp2	NM_001002896	-18763	0	1	0
211	Bfsp2	NM_001002896	-19361	0	1	0
212	Bfsp2	NM_001002896	-18762	0	1	0
213	Bfsp2	NM_001002896	370	1	1	0
214	Bfsp2	NM_001002896	5750	0	0	1
215	Bfsp2	NM_001002896	-21752	0	0	1
216	Bfsp2	NM_001002896	5726	0	0	1
217	Bfsp2	NM_001002896	-21743	0	0	1
218	Bfsp2	NM_001002896	5628	0	0	1
219	Higd1c	NM_001002900	15700	0	0	1
220	Penk	NM_001002927	-42277	0	0	0
221	Krt77	NM_001003667	-1336	0	0	0
222	Krt87	NM_001003668	5116	0	1	1
223	Krt87	NM_001003668	80	1	1	1
224	Pcdhac2	NM_001003672	19386	0	0	1
225	Pcdhac2	NM_001003672	19273	0	0	1
226	Pcdhac2	NM_001003672	647	1	1	1
227	Erbb2	NM_001003817	3178	0	0	1
228	Erbb2	NM_001003817	6627	0	0	1
229	Erbb2	NM_001003817	6833	0	0	1
230	Erbb2	NM_001003817	6440	0	0	1
231	Erbb2	NM_001003817	6626	0	0	1
232	Adamts7	NM_001003911	19752	0	0	1
233	Atg9a	NM_001003917	5070	0	1	0
234	Usp7	NM_001003918	-31023	0	0	0
235	Usp7	NM_001003918	227	1	0	1
