	name	feature.name	dist.to.feature	prom	exon	intron
1	Scap	NM_001001144	8113	0	0	1
2	Scap	NM_001001144	35351	0	0	1
3	Scap	NM_001001144	2002	0	0	1
4	Scap	NM_001001144	7925	0	0	1
5	Fbxo41	NM_001001160	24738	0	1	0
6	Fbxo41	NM_001001160	18373	0	1	0
7	Fbxo41	NM_001001160	18719	0	1	0
8	Fbxo41	NM_001001160	18238	0	1	0
9	Fbxo41	NM_001001160	21083	0	0	1
10	Fbxo41	NM_001001160	18183	0	1	0
11	Fbxo41	NM_001001160	17924	0	0	1
12	Fbxo41	NM_001001160	18188	0	1	0
13	Taf9b	NM_001001176	246	1	1	0
14	Taf9b	NM_001001176	337	1	0	1
15	Taf9b	NM_001001176	52	1	1	1
16	Taf9b	NM_001001176	291	1	0	1
17	Taf9b	NM_001001176	251	1	1	0
18	Taf9b	NM_001001176	105	1	1	1
19	Ccdc148	NM_001001178	37508	0	0	1
20	BC048546	NM_001001179	2209	0	0	1
21	BC048546	NM_001001179	9664	0	0	1
22	BC048546	NM_001001179	2213	0	0	1
23	BC048546	NM_001001179	-6467	0	0	0
24	BC048546	NM_001001179	1414	0	0	1
25	BC031181	NM_001001181	2898	0	1	0
26	Baz2b	NM_001001182	54455	0	0	1
27	Baz2b	NM_001001182	-4743	0	0	0
28	Baz2b	NM_001001182	-4802	0	0	0
29	Baz2b	NM_001001182	36061	0	0	1
30	Baz2b	NM_001001182	-4763	0	0	0
31	Baz2b	NM_001001182	18328	0	0	1
32	Baz2b	NM_001001182	18349	0	0	1
33	Baz2b	NM_001001182	-4764	0	0	0
34	Tmem204	NM_001001183	22824	0	1	1
35	Tmem204	NM_001001183	22947	0	1	1
36	Tmem204	NM_001001183	-3568	0	0	1
37	Tmem204	NM_001001183	-3518	0	0	1
38	Tmem204	NM_001001183	22814	0	1	1
39	BC048507	NM_001001185	-352	1	0	0
40	BC048507	NM_001001185	-348	1	0	0
41	BC048507	NM_001001185	495	1	1	0
42	BC048507	NM_001001185	-360	1	0	0
43	BC048507	NM_001001185	-524	1	0	0
44	Dis3l	NM_001001295	-16766	0	0	0
45	St5	NM_001001326	-20318	0	0	0
46	Hexdc	NM_001001333	-11169	0	0	1
47	Hexdc	NM_001001333	-11210	0	0	1
48	Hexdc	NM_001001333	-11065	0	0	1
49	Spag6	NM_001001334	-9931	0	0	0
50	Spag6	NM_001001334	-8789	0	0	0
51	Spag6	NM_001001334	-10034	0	0	0
52	Spag6	NM_001001334	481	1	0	1
53	Spag6	NM_001001334	-4547	0	0	0
54	Spag6	NM_001001334	101908	0	0	0
55	Spag6	NM_001001334	82455	0	0	0
56	Defb29	NM_001001444	-14449	0	0	0
57	Defb29	NM_001001444	1257	0	1	0
58	Trpv1	NM_001001445	3561	0	0	1
59	AF067063	NM_001001449	408	1	0	1
60	AF067063	NM_001001449	-7775	0	0	0
61	AF067063	NM_001001449	7808	0	0	0
62	AF067063	NM_001001449	405	1	0	1
63	AF067063	NM_001001449	11394	0	0	0
64	AF067063	NM_001001449	11375	0	0	0
65	Ssxb2	NM_001001450	-15041	0	0	0
66	Ssxb2	NM_001001450	-14210	0	0	0
67	Tas2r138	NM_001001451	-4116	0	0	1
68	Ttyh1	NM_001001454	60	1	1	1
69	Ttyh1	NM_001001454	203	1	1	0
70	Atp8b1	NM_001001488	-105350	0	0	0
71	Oxgr1	NM_001001490	-107210	0	0	0
72	Oxgr1	NM_001001490	-79609	0	0	0
73	Oxgr1	NM_001001490	-19514	0	0	0
74	Oxgr1	NM_001001490	108425	0	0	0
75	Oxgr1	NM_001001490	-47553	0	0	0
76	Oxgr1	NM_001001490	-79586	0	0	0
77	Oxgr1	NM_001001490	-19347	0	0	0
78	Oxgr1	NM_001001490	-47528	0	0	0
79	Oxgr1	NM_001001490	-19531	0	0	0
80	Oxgr1	NM_001001490	-43854	0	0	0
81	Lca5l	NM_001001492	597	1	0	1
82	Wdr83os	NM_001001493	570	1	0	1
83	Wdr83os	NM_001001493	618	1	0	1
84	Gja6	NM_001001496	17548	0	0	1
85	Usp17ld	NM_001001559	-25326	0	0	0
