	name	feature.name	dist.to.feature	prom	exon	intron
1	Dab2ip	NM_001001602	-28796	0	0	1
2	A430105I19Rik	NM_001001982	304	1	0	1
3	Brsk1	NM_001003920	13825	0	0	1
4	Fam222a	NM_001004180	10123	0	0	1
5	Lmtk3	NM_001005511	10254	0	1	0
6	Mtus1	NM_001005864	-28028	0	1	0
7	Mxi1	NM_001008542	-11135	0	0	0
8	Unc13d	NM_001009573	14277	0	1	0
9	A3galt2	NM_001009819	13589	0	0	0
10	Gm973	NM_001013771	24429	0	0	1
11	Dyrk2	NM_001014390	152022	0	0	0
12	Maf	NM_001025577	389003	0	0	1
13	Cadm1	NM_001025600	27751	0	0	1
14	B020004J07Rik	NM_001033790	18921	0	0	0
15	Ets1	NM_001038642	14060	0	0	1
16	AI429214	NM_001039220	111450	0	0	0
17	Edem3	NM_001039644	124517	0	0	0
18	Pigw	NM_001077636	-13300	0	0	1
19	Sdhaf3	NM_001077713	55838	0	0	1
20	Sdhaf3	NM_001077713	221299	0	0	0
21	Gm1123	NM_001080776	-51430	0	0	1
22	Prickle2	NM_001081146	-22893	0	0	0
23	Neto2	NM_001081324	-30235	0	0	1
24	Camta1	NM_001081557	296102	0	0	1
25	Magi1	NM_001083321	214569	0	0	1
26	Spata31d1c	NM_001083890	19711	0	0	0
27	Xirp2	NM_001083919	-45971	0	0	0
28	Zfp467	NM_001085416	6182	0	1	1
29	Kif26a	NM_001097621	30407	0	1	0
30	Nr1i2	NM_001098404	13658	0	0	1
31	Ajap1	NM_001099299	297546	0	0	0
32	Fam189a2	NM_001114174	55386	0	1	0
33	Prdm12	NM_001123362	14582	0	1	0
34	Tcf7l2	NM_001142924	102407	0	0	0
35	Rfx8	NM_001145660	32574	0	0	1
36	Tenm3	NM_001145937	-20995	0	0	0
37	Ces3b	NM_001159415	15467	0	0	0
38	Celf2	NM_001160292	-102177	0	0	1
39	Troap	NM_001162506	1840	0	0	1
40	Fam174b	NM_001162532	36719	0	0	0
41	Etv1	NM_001163154	185091	0	0	0
42	Enthd1	NM_001163189	129857	0	0	0
43	Soga1	NM_001164663	30094	0	0	1
