	name	feature.name	dist.to.feature	prom	exon	intron
1	Crtc1	NM_001004062	-13091	0	1	0
2	Hrh2	NM_001010973	72910	0	0	0
3	Fut10	NM_001012517	32002	0	0	1
4	Qrich2	NM_001033267	391	1	0	1
5	Cldn19	NM_001038590	1646	0	0	1
6	Sdhaf3	NM_001077713	55838	0	0	1
7	Gm1123	NM_001080776	-51423	0	0	1
8	L1td1	NM_001081202	29674	0	1	0
9	L1td1	NM_001081202	-13069	0	0	1
10	Xirp2	NM_001083919	-45971	0	0	0
11	Pramef6	NM_001085414	18295	0	0	0
12	Gm436	NM_001085504	25001	0	0	0
13	Kif26a	NM_001097621	31671	0	1	0
14	Nr1i2	NM_001098404	89311	0	0	1
15	Skor2	NM_001109743	15871	0	0	1
16	Epb41	NM_001128607	-17779	0	0	0
17	Arhgap40	NM_001145015	38076	0	0	0
18	C5ar2	NM_001146005	4257	0	0	1
19	C5ar2	NM_001146005	4288	0	0	1
20	H2afy	NM_001159514	82954	0	0	0
21	H2afy	NM_001159514	18354	0	0	1
22	Ntf3	NM_001164035	22491	0	0	1
23	Irf2bp2	NM_001164598	-8220	0	0	0
24	Slc35b3	NM_001170431	-213371	0	0	0
25	Gm7102	NM_001177513	97267	0	0	1
26	Tsc22d1	NM_001177751	22	1	1	1
27	Gm5294	NM_001195128	1099	0	0	1
28	Pnoc	NM_001205075	1636	0	0	1
29	Hk3	NM_001206391	14868	0	1	0
30	Slc6a15	NM_001252330	242119	0	0	0
31	Rhobtb1	NM_001252636	-216561	0	0	0
32	Tbc1d7	NM_001252639	-40327	0	0	1
33	Fstl5	NM_001253719	686951	0	0	0
34	Cdc7	NM_001271566	87434	0	0	0
35	Pex5	NM_001277330	4339	0	0	1
36	Adcy7	NM_007406	410	1	0	1
37	Igfbp7	NM_008048	-175	1	0	0
38	Hsd17b3	NM_008291	94910	0	0	0
39	Ppl	NM_008909	-4594	0	0	0
40	Top2b	NM_009409	-56660	0	0	1
41	Tpi1	NM_009415	279	1	1	0
42	Tnfsf4	NM_009452	-70583	0	0	0
43	S1pr3	NM_010101	-15645	0	0	0
44	Eya2	NM_010165	98935	0	0	1
45	Gsr	NM_010344	13095	0	0	1
46	Smad2	NM_010754	-19102	0	0	0
47	Oit3	NM_010959	2834	0	0	1
48	Ptpn1	NM_011201	-192	1	0	0
49	Dctn6	NM_011722	13498	0	0	1
50	Dctn6	NM_011722	13497	0	0	1
51	Aadat	NM_011834	-360676	0	0	0
52	Map3k1	NM_011945	7388	0	0	1
53	Anxa3	NM_013470	-16563	0	0	1
54	Frg1	NM_013522	-141294	0	0	0
55	Hprt	NM_013556	479	1	0	1
56	Csnk1e	NM_013767	15756	0	1	0
57	Ndrg2	NM_013864	2777	0	1	0
58	Cabp1	NM_013879	-106	1	0	0
59	Adat1	NM_013925	3236	0	0	1
60	Rab11a	NM_017382	64414	0	0	1
61	Dfna5	NM_018769	-16499	0	0	0
62	Plxnc1	NM_018797	-71465	0	0	0
63	Adgrg1	NM_018882	2220	0	0	1
64	Uchl5	NM_019562	77	1	1	0
65	Uchl5	NM_019562	97	1	1	0
66	Ykt6	NM_019661	31762	0	0	1
67	B4galt5	NM_019835	-23151	0	0	0
68	Arhgap23	NM_021493	50290	0	1	0
69	Ube4b	NM_022022	25414	0	0	1
70	Mrrf	NM_026422	-14533	0	0	1
71	Ccdc167	NM_026782	-58882	0	0	0
72	1700008P02Rik	NM_027048	-200809	0	0	0
73	9030624J02Rik	NM_027815	33621	0	0	1
74	Cnn3	NM_028044	-47297	0	0	0
75	Col16a1	NM_028266	20660	0	1	0
76	Asphd2	NM_028386	7384	0	0	0
77	Rassf6	NM_028478	5418	0	0	1
78	Kcnk16	NM_029006	30371	0	0	0
79	Lrg1	NM_029796	1711	0	1	0
80	8030423J24Rik	NM_029873	380873	0	0	0
81	Stk31	NM_029916	92506	0	0	0
82	Srbd1	NM_030133	186231	0	0	0
83	Tfec	NM_031198	101396	0	0	0
84	Zfp275	NM_031494	-41	1	0	0
85	Cnnm2	NM_033569	32740	0	0	1
86	Agpat3	NM_053014	-15986	0	0	0
87	Csmd1	NM_053171	-412930	0	0	0
88	Tshz2	NM_080455	-128477	0	0	0
89	Trhr2	NM_133202	24076	0	1	0
90	Asl	NM_133768	7838	0	0	1
91	Kctd1	NM_134112	-24568	0	0	0
92	Vmn1r75	NM_134207	18943	0	0	0
93	Cabp7	NM_138948	15916	0	0	1
94	Mchr1	NM_145132	2650	0	1	0
95	BC003331	NM_145511	-14375	0	0	1
96	Lrrc3b	NM_146052	-121192	0	0	0
97	Olfr720	NM_146392	-67651	0	0	0
98	Olfr1370	NM_146535	18434	0	0	0
99	Pom121	NM_148932	-61283	0	0	1
100	Prss42	NM_153099	-15476	0	0	0
101	Nhlrc3	NM_172501	10689	0	1	0
102	Gramd1b	NM_172768	-83898	0	0	0
103	Sh3rf3	NM_172788	-3675	0	0	0
104	Tbcel	NM_173038	15582	0	0	1
105	Fam110b	NM_173426	119078	0	0	1
106	Cdh22	NM_174988	5392	0	0	1
107	Mbnl2	NM_175341	60545	0	0	1
108	Tmem74	NM_175502	158146	0	0	0
109	Hist1h2ba	NM_175663	2813	0	0	0
110	Dusp4	NM_176933	-79760	0	0	0
111	Rhbdd3	NM_177370	3338	0	0	1
112	Usp46	NM_177561	64559	0	0	1
113	Zfp507	NM_177739	-354541	0	0	0
114	Ccdc60	NM_177759	95647	0	0	1
115	Zfp74	NM_178384	17397	0	1	0
116	Vstm4	NM_178791	67138	0	0	1
117	Ldlrad3	NM_178886	114481	0	0	1
118	A430033K04Rik	NM_183025	24514	0	1	0
119	Zfp516	NM_183033	-38730	0	0	0
120	Coa4	NM_183270	2055	0	1	0
121	Stpg2	NM_198659	616004	0	0	0
122	Acap3	NM_207223	14313	0	1	0
123	Gm12070	NR_002890	661091	0	0	0
124	LOC100043315	NR_015482	-79724	0	0	1
125	2610035D17Rik	NR_015556	114680	0	0	1
126	2610035D17Rik	NR_015556	114705	0	0	1
127	1500011B03Rik	NR_027818	17409	0	0	1
128	4930503E24Rik	NR_028310	83263	0	0	0
129	Mirlet7i	NR_029527	72075	0	0	1
130	Crnde	NR_033641	207	1	1	0
131	Zscan4a	NR_033707	23070	0	0	0
132	Mir3065	NR_037225	-4674	0	1	0
133	Mir3079	NR_037240	-49044	0	0	1
134	Gm20268	NR_037989	1145947	0	0	0
135	2310043L19Rik	NR_037994	-40809	0	0	0
136	Mir378b	NR_039545	15170	0	0	1
137	1700017J07Rik	NR_040326	9629	0	0	0
